run_id,experiment,condition,method,realization,round,logical_round,physical_round,phase,bin,lower,upper,count,confidence,accuracy
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,0,0,0,model,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,0,0,0,model,1,0.1,0.2,5,0.1955673723760992,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,0,0,0,model,2,0.2,0.30000000000000004,1466,0.27960138728973444,0.08390177353342429
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,0,0,0,model,3,0.30000000000000004,0.4,6697,0.34771071916583307,0.1073615051515604
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,0,0,0,model,4,0.4,0.5,1771,0.43243608127043465,0.032185206098249576
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,0,0,0,model,5,0.5,0.6000000000000001,61,0.5140927246961643,0.03278688524590164
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,0,0,0,model,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,0,0,0,model,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,0,0,0,model,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,0,0,0,model,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,1,1,2,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,1,1,2,natural_mean,1,0.1,0.2,1214,0.18290959034522314,0.07495881383855024
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,1,1,2,natural_mean,2,0.2,0.30000000000000004,6856,0.2483787119054028,0.12879229871645273
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,1,1,2,natural_mean,3,0.30000000000000004,0.4,1885,0.33027544356482375,0.07320954907161804
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,1,1,2,natural_mean,4,0.4,0.5,45,0.41757685836663266,0.022222222222222223
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,1,1,2,natural_mean,5,0.5,0.6000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,1,1,2,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,1,1,2,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,1,1,2,natural_mean,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,1,1,2,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,2,2,4,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,2,2,4,natural_mean,1,0.1,0.2,2310,0.18309892256786664,0.08614718614718615
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,2,2,4,natural_mean,2,0.2,0.30000000000000004,7138,0.23894870958743814,0.16909498458952088
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,2,2,4,natural_mean,3,0.30000000000000004,0.4,542,0.3269305691236142,0.11439114391143912
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,2,2,4,natural_mean,4,0.4,0.5,10,0.4135939649306238,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,2,2,4,natural_mean,5,0.5,0.6000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,2,2,4,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,2,2,4,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,2,2,4,natural_mean,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,2,2,4,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,3,3,6,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,3,3,6,natural_mean,1,0.1,0.2,299,0.18711525233669585,0.06354515050167224
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,3,3,6,natural_mean,2,0.2,0.30000000000000004,7537,0.2569841953542299,0.10309141568263235
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,3,3,6,natural_mean,3,0.30000000000000004,0.4,2151,0.32412552283894963,0.099953509995351
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,3,3,6,natural_mean,4,0.4,0.5,13,0.40857204430951527,0.15384615384615385
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,3,3,6,natural_mean,5,0.5,0.6000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,3,3,6,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,3,3,6,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,3,3,6,natural_mean,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,3,3,6,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,4,4,8,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,4,4,8,natural_mean,1,0.1,0.2,1455,0.1848351959487275,0.11065292096219931
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,4,4,8,natural_mean,2,0.2,0.30000000000000004,6691,0.2484208220855451,0.13824540427439844
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,4,4,8,natural_mean,3,0.30000000000000004,0.4,1825,0.32717785513768455,0.08931506849315068
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,4,4,8,natural_mean,4,0.4,0.5,29,0.412954051263534,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,4,4,8,natural_mean,5,0.5,0.6000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,4,4,8,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,4,4,8,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,4,4,8,natural_mean,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,4,4,8,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,5,5,10,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,5,5,10,natural_mean,1,0.1,0.2,3256,0.18194543706069824,0.10472972972972973
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,5,5,10,natural_mean,2,0.2,0.30000000000000004,6199,0.23598562944460352,0.14244232940796903
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,5,5,10,natural_mean,3,0.30000000000000004,0.4,538,0.32348519067200365,0.2862453531598513
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,5,5,10,natural_mean,4,0.4,0.5,7,0.4242946752480098,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,5,5,10,natural_mean,5,0.5,0.6000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,5,5,10,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,5,5,10,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,5,5,10,natural_mean,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,5,5,10,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,6,6,12,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,6,6,12,natural_mean,1,0.1,0.2,611,0.17889084620896648,0.062193126022913256
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,6,6,12,natural_mean,2,0.2,0.30000000000000004,6663,0.2565942353673296,0.09125018760318175
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,6,6,12,natural_mean,3,0.30000000000000004,0.4,2691,0.3290930585764528,0.13526570048309178
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,6,6,12,natural_mean,4,0.4,0.5,35,0.41850572308924583,0.2857142857142857
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,6,6,12,natural_mean,5,0.5,0.6000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,6,6,12,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,6,6,12,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,6,6,12,natural_mean,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,6,6,12,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,7,7,14,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,7,7,14,natural_mean,1,0.1,0.2,4132,0.17971810128399832,0.14399806389157793
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,7,7,14,natural_mean,2,0.2,0.30000000000000004,5650,0.23285890792269853,0.15097345132743362
