target_removed_percent,snr_threshold,name,total,pruned,pruned_percent
50,1.079111099243164,layer0.weight,940800,465483,49.47735969387755
50,1.079111099243164,layer1.weight,1440000,728856,50.615
50,1.079111099243164,layer2.weight,12000,2061,17.175
75,1.8855124711990356,layer0.weight,940800,699765,74.3797831632653
75,1.8855124711990356,layer1.weight,1440000,1091488,75.79777777777778
75,1.8855124711990356,layer2.weight,12000,3347,27.891666666666666
95,3.340867519378662,layer0.weight,940800,890008,94.60119047619048
95,3.340867519378662,layer1.weight,1440000,1377926,95.68930555555555
95,3.340867519378662,layer2.weight,12000,5226,43.55
98,4.092471599578857,layer0.weight,940800,919957,97.78454506802721
98,4.092471599578857,layer1.weight,1440000,1418984,98.54055555555556
98,4.092471599578857,layer2.weight,12000,6002,50.016666666666666
