entity,num_examples,class_counts_0_to_9
BS_max,1600,"[156, 181, 170, 143, 179, 152, 155, 137, 171, 156]"
client_0,149,"[0, 0, 0, 0, 0, 50, 50, 0, 0, 49]"
client_1,135,"[45, 45, 0, 0, 0, 0, 0, 0, 0, 45]"
client_2,147,"[0, 0, 0, 0, 0, 49, 0, 49, 0, 49]"
client_3,175,"[0, 0, 58, 0, 0, 0, 58, 59, 0, 0]"
client_4,161,"[0, 54, 0, 0, 0, 54, 53, 0, 0, 0]"
client_5,153,"[0, 0, 0, 0, 0, 51, 0, 51, 51, 0]"
client_6,158,"[0, 52, 53, 0, 0, 0, 0, 53, 0, 0]"
client_7,158,"[0, 0, 53, 0, 53, 0, 0, 0, 52, 0]"
client_8,148,"[0, 50, 49, 0, 0, 49, 0, 0, 0, 0]"
client_9,162,"[0, 54, 54, 0, 0, 0, 0, 54, 0, 0]"
client_10,145,"[0, 0, 0, 0, 49, 0, 0, 48, 0, 48]"
client_11,158,"[0, 0, 0, 0, 0, 0, 53, 53, 0, 52]"
client_12,158,"[0, 53, 0, 0, 53, 0, 52, 0, 0, 0]"
client_13,163,"[0, 0, 54, 0, 0, 0, 54, 0, 55, 0]"
client_14,136,"[0, 0, 0, 0, 45, 0, 0, 0, 45, 46]"
client_15,160,"[0, 54, 0, 0, 0, 0, 53, 0, 0, 53]"
client_16,158,"[0, 0, 53, 0, 0, 53, 0, 0, 0, 52]"
client_17,158,"[0, 0, 53, 53, 0, 0, 0, 0, 0, 52]"
client_18,163,"[0, 0, 0, 0, 0, 54, 55, 0, 0, 54]"
client_19,166,"[0, 0, 0, 56, 55, 0, 0, 0, 0, 55]"
client_20,173,"[0, 0, 0, 0, 0, 58, 0, 58, 0, 57]"
client_21,141,"[0, 0, 47, 0, 0, 0, 0, 47, 47, 0]"
client_22,176,"[0, 0, 0, 0, 59, 0, 59, 0, 0, 58]"
client_23,141,"[0, 47, 0, 0, 47, 0, 0, 47, 0, 0]"
client_24,161,"[0, 54, 53, 0, 0, 54, 0, 0, 0, 0]"
client_25,136,"[0, 0, 0, 0, 46, 45, 0, 0, 45, 0]"
client_26,154,"[0, 0, 0, 0, 52, 51, 0, 51, 0, 0]"
client_27,147,"[49, 49, 0, 0, 0, 49, 0, 0, 0, 0]"
client_28,188,"[0, 62, 0, 0, 63, 0, 0, 0, 0, 63]"
client_29,147,"[0, 49, 49, 0, 0, 49, 0, 0, 0, 0]"
client_30,151,"[0, 50, 50, 0, 51, 0, 0, 0, 0, 0]"
client_31,144,"[0, 0, 0, 48, 0, 0, 0, 0, 48, 48]"
client_32,150,"[0, 0, 0, 50, 0, 0, 0, 0, 50, 50]"
client_33,171,"[0, 57, 0, 0, 57, 57, 0, 0, 0, 0]"
client_34,155,"[52, 0, 0, 51, 0, 0, 0, 52, 0, 0]"
client_35,158,"[0, 53, 0, 52, 0, 0, 0, 53, 0, 0]"
client_36,142,"[47, 47, 0, 0, 0, 0, 0, 0, 48, 0]"
client_37,144,"[0, 0, 0, 48, 0, 48, 0, 0, 48, 0]"
client_38,149,"[0, 50, 0, 0, 0, 49, 0, 0, 50, 0]"
client_39,151,"[0, 0, 51, 0, 0, 50, 0, 0, 50, 0]"
client_40,160,"[53, 0, 0, 0, 0, 0, 53, 0, 0, 54]"
client_41,148,"[0, 0, 49, 0, 0, 50, 0, 49, 0, 0]"
client_42,153,"[0, 51, 51, 0, 0, 0, 0, 0, 0, 51]"
client_43,158,"[53, 0, 0, 0, 0, 0, 0, 53, 52, 0]"
client_44,143,"[48, 47, 0, 48, 0, 0, 0, 0, 0, 0]"
client_45,140,"[46, 0, 0, 0, 0, 47, 0, 0, 47, 0]"
client_46,158,"[0, 52, 0, 0, 53, 0, 53, 0, 0, 0]"
client_47,165,"[0, 55, 0, 0, 55, 0, 55, 0, 0, 0]"
client_48,135,"[0, 0, 45, 0, 0, 45, 0, 45, 0, 0]"
client_49,153,"[0, 51, 0, 0, 51, 0, 0, 51, 0, 0]"
client_50,157,"[0, 0, 53, 0, 52, 52, 0, 0, 0, 0]"
client_51,158,"[0, 0, 0, 0, 0, 53, 53, 0, 52, 0]"
client_52,173,"[0, 0, 0, 0, 58, 57, 58, 0, 0, 0]"
client_53,136,"[0, 45, 46, 0, 0, 0, 0, 0, 0, 45]"
client_54,150,"[0, 50, 50, 0, 0, 0, 0, 50, 0, 0]"
client_55,173,"[58, 0, 0, 0, 58, 0, 0, 0, 57, 0]"
client_56,162,"[54, 0, 0, 0, 54, 0, 0, 0, 54, 0]"
client_57,166,"[0, 0, 0, 55, 0, 0, 56, 55, 0, 0]"
client_58,152,"[0, 51, 0, 0, 50, 0, 0, 51, 0, 0]"
client_59,140,"[0, 47, 0, 0, 46, 0, 0, 0, 47, 0]"
client_60,176,"[59, 0, 0, 0, 0, 58, 59, 0, 0, 0]"
client_61,169,"[0, 0, 56, 0, 0, 0, 57, 56, 0, 0]"
client_62,144,"[0, 48, 0, 48, 0, 0, 0, 0, 0, 48]"
client_63,165,"[55, 0, 55, 0, 0, 0, 55, 0, 0, 0]"
client_64,153,"[51, 0, 0, 0, 51, 0, 0, 0, 51, 0]"
client_65,181,"[0, 0, 0, 60, 0, 61, 0, 0, 60, 0]"
client_66,172,"[0, 0, 0, 0, 57, 0, 58, 57, 0, 0]"
client_67,155,"[0, 52, 0, 0, 0, 0, 51, 52, 0, 0]"
client_68,156,"[0, 0, 0, 52, 0, 0, 52, 0, 0, 52]"
client_69,157,"[0, 0, 0, 52, 0, 0, 52, 53, 0, 0]"
client_70,141,"[0, 0, 47, 0, 47, 0, 0, 47, 0, 0]"
client_71,182,"[0, 61, 60, 0, 61, 0, 0, 0, 0, 0]"
client_72,165,"[55, 0, 0, 0, 0, 0, 55, 55, 0, 0]"
client_73,171,"[0, 0, 57, 0, 0, 57, 0, 57, 0, 0]"
client_74,151,"[50, 0, 51, 0, 50, 0, 0, 0, 0, 0]"
client_75,156,"[0, 0, 0, 0, 0, 52, 0, 0, 52, 52]"
