round,Nt,accuracy,loss,distortion,rho_ref,m0
0.0,0.0,0.0716,2.3026980838775635,nan,0.0,20.0
1.0,301.0,0.0702,2.3026916915893554,7.208206199869733e-05,1.032966480316497e-11,20.0
2.0,602.0,0.0699,2.302685359954834,7.170205968312759e-05,1.0296686183401163e-11,20.0
3.0,903.0,0.0714,2.3026791374206543,7.390978120022988e-05,1.0424234700506578e-11,20.0
4.0,1204.0,0.0702,2.3026734649658205,7.453105551830598e-05,1.0454858372261587e-11,20.0
5.0,1505.0,0.0692,2.3026670402526856,7.60918244694614e-05,1.0306609984213275e-11,20.0
6.0,1806.0,0.07,2.302660717010498,7.609794943710272e-05,1.0437144542105326e-11,20.0
7.0,2107.0,0.0713,2.302654312133789,7.96027941609013e-05,1.0279249055876422e-11,20.0
8.0,2408.0,0.072,2.302648340988159,7.702320912169407e-05,1.0278596721152766e-11,20.0
9.0,2709.0,0.0704,2.302642771911621,7.883530566118382e-05,1.042689324226809e-11,20.0
10.0,3010.0,0.0706,2.3026364551544187,7.860935128744094e-05,1.0531882123142482e-11,20.0
11.0,3311.0,0.0715,2.302630263900757,8.311561439657442e-05,1.0553623749030572e-11,20.0
12.0,3612.0,0.0721,2.3026238021850585,8.19902741895463e-05,1.0825435463687197e-11,20.0
13.0,3913.0,0.0729,2.302617401123047,8.493044794572579e-05,1.0654833658482755e-11,20.0
14.0,4214.0,0.0737,2.302611254119873,8.50297404885297e-05,1.0766780782213888e-11,20.0
15.0,4515.0,0.0748,2.302604178237915,8.81197736616391e-05,1.1065789270593851e-11,20.0
16.0,4816.0,0.0759,2.30259787940979,8.610607585157934e-05,1.0813392442599538e-11,20.0
17.0,5117.0,0.0763,2.3025914085388184,9.227467261796543e-05,1.1072398100659822e-11,20.0
18.0,5418.0,0.0793,2.3025854259490965,9.24897348032746e-05,1.095010275698454e-11,20.0
19.0,5719.0,0.0814,2.302578981781006,9.487354058836582e-05,1.0945067846663048e-11,20.0
20.0,6020.0,0.083,2.302572617340088,9.660669954405505e-05,1.1354859122309637e-11,20.0
21.0,6321.0,0.0842,2.3025659942626953,9.716991681139388e-05,1.1720366893300712e-11,20.0
22.0,6622.0,0.0847,2.3025589656829832,9.63195061391549e-05,1.1566982914769441e-11,20.0
23.0,6923.0,0.0869,2.302552423858643,0.00010202953555362988,1.1538668058711858e-11,20.0
24.0,7224.0,0.0888,2.3025461544036867,0.00010358177409451141,1.1596889038678865e-11,20.0
25.0,7525.0,0.0895,2.302539333343506,0.00010462984433296202,1.1802680735263938e-11,20.0
26.0,7826.0,0.0901,2.302532448577881,0.0001037980907053544,1.2002990928395414e-11,20.0
27.0,8127.0,0.091,2.3025253005981448,0.00010903664748841502,1.2280838588927484e-11,20.0
28.0,8428.0,0.0925,2.302518864440918,0.00011191451498055589,1.2226587729322235e-11,20.0
29.0,8729.0,0.0928,2.302511981201172,0.00011313469581673946,1.2401517451673239e-11,20.0
30.0,9030.0,0.094,2.302504991531372,0.00011590110842195597,1.24396970833371e-11,20.0
31.0,9331.0,0.0947,2.302498101806641,0.0001212486272245657,1.2572878461313499e-11,20.0
32.0,9632.0,0.0953,2.3024908100128174,0.00012127477416957513,1.286884611657e-11,20.0
33.0,9933.0,0.0964,2.3024835441589357,0.00012613814803614997,1.3112396196634943e-11,20.0
34.0,10234.0,0.0975,2.302476755523682,0.0001277341871590332,1.29724254108502e-11,20.0
35.0,10535.0,0.0987,2.302469644546509,0.000130502363529018,1.3185559387892883e-11,20.0
36.0,10836.0,0.0992,2.302462839889526,0.0001336322564999599,1.3295201549029909e-11,20.0
37.0,11137.0,0.0993,2.3024554832458497,0.00013819737947647667,1.3376663124281599e-11,20.0
38.0,11438.0,0.0995,2.302448331069946,0.000141793077015311,1.3765080787264274e-11,20.0
39.0,11739.0,0.0998,2.3024407890319822,0.000151898088289229,1.394523189398644e-11,20.0
40.0,12040.0,0.0999,2.302433068847656,0.00015140582071938047,1.4052031113529767e-11,20.0
41.0,12341.0,0.0996,2.3024252250671386,0.00015561408131086707,1.437863552720913e-11,20.0
42.0,12642.0,0.0995,2.3024177711486815,0.0001616374251326922,1.4568299199306472e-11,20.0
43.0,12943.0,0.0995,2.302410153198242,0.00016471719505883282,1.4715087719085816e-11,20.0
44.0,13244.0,0.0997,2.302402421569824,0.00017207437523127252,1.4457819493859912e-11,20.0
45.0,13545.0,0.1001,2.3023954376220703,0.00017862806365776988,1.47017899387274e-11,20.0
