entity,num_examples,class_counts_0_to_9
BS_max,160,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16]"
client_0,166,"[0, 0, 0, 55, 0, 0, 55, 56, 0, 0]"
client_1,158,"[0, 0, 0, 53, 52, 0, 0, 0, 53, 0]"
client_2,160,"[53, 0, 0, 0, 0, 0, 53, 54, 0, 0]"
client_3,172,"[0, 0, 0, 57, 0, 0, 0, 0, 57, 58]"
client_4,153,"[0, 51, 51, 51, 0, 0, 0, 0, 0, 0]"
client_5,150,"[0, 0, 0, 0, 0, 0, 50, 50, 0, 50]"
client_6,150,"[0, 50, 50, 0, 0, 0, 0, 50, 0, 0]"
client_7,186,"[62, 0, 0, 0, 62, 0, 0, 62, 0, 0]"
client_8,158,"[0, 0, 0, 53, 0, 53, 0, 0, 0, 52]"
client_9,153,"[0, 0, 0, 51, 51, 0, 0, 51, 0, 0]"
client_10,169,"[56, 0, 0, 0, 56, 0, 57, 0, 0, 0]"
client_11,137,"[0, 0, 0, 0, 0, 46, 0, 0, 45, 46]"
client_12,153,"[0, 0, 51, 0, 51, 51, 0, 0, 0, 0]"
client_13,162,"[54, 0, 0, 0, 54, 54, 0, 0, 0, 0]"
client_14,158,"[53, 0, 52, 0, 53, 0, 0, 0, 0, 0]"
client_15,136,"[45, 0, 0, 0, 46, 45, 0, 0, 0, 0]"
client_16,146,"[0, 0, 0, 0, 0, 49, 48, 0, 49, 0]"
client_17,125,"[0, 0, 41, 0, 0, 0, 0, 42, 0, 42]"
client_18,174,"[0, 58, 0, 0, 0, 0, 0, 58, 58, 0]"
client_19,153,"[51, 0, 0, 0, 0, 0, 0, 0, 51, 51]"
client_20,167,"[55, 0, 0, 0, 56, 0, 0, 56, 0, 0]"
client_21,144,"[0, 0, 48, 48, 0, 48, 0, 0, 0, 0]"
client_22,166,"[56, 55, 0, 0, 0, 0, 0, 55, 0, 0]"
client_23,143,"[0, 0, 0, 47, 48, 48, 0, 0, 0, 0]"
client_24,162,"[54, 0, 54, 0, 0, 54, 0, 0, 0, 0]"
client_25,174,"[0, 0, 58, 0, 0, 0, 58, 0, 58, 0]"
client_26,159,"[0, 53, 0, 0, 0, 0, 0, 53, 53, 0]"
client_27,152,"[51, 0, 50, 0, 51, 0, 0, 0, 0, 0]"
client_28,150,"[0, 0, 0, 0, 50, 0, 0, 0, 50, 50]"
client_29,159,"[0, 0, 0, 0, 53, 53, 0, 0, 0, 53]"
client_30,163,"[55, 0, 0, 0, 0, 0, 54, 0, 54, 0]"
client_31,154,"[51, 0, 52, 0, 0, 0, 0, 0, 0, 51]"
client_32,182,"[0, 60, 0, 0, 0, 61, 0, 0, 0, 61]"
client_33,145,"[0, 48, 48, 0, 0, 49, 0, 0, 0, 0]"
client_34,197,"[0, 0, 0, 65, 0, 66, 0, 0, 66, 0]"
client_35,136,"[0, 0, 0, 46, 0, 0, 45, 45, 0, 0]"
client_36,159,"[0, 53, 53, 0, 53, 0, 0, 0, 0, 0]"
client_37,166,"[0, 0, 55, 0, 0, 55, 56, 0, 0, 0]"
client_38,156,"[52, 0, 0, 0, 0, 52, 0, 52, 0, 0]"
client_39,158,"[0, 0, 0, 53, 53, 0, 0, 0, 52, 0]"
client_40,171,"[57, 0, 0, 0, 0, 0, 57, 0, 0, 57]"
client_41,162,"[0, 0, 54, 54, 54, 0, 0, 0, 0, 0]"
client_42,160,"[53, 0, 0, 0, 0, 0, 54, 0, 0, 53]"
client_43,151,"[0, 0, 50, 0, 0, 0, 51, 0, 0, 50]"
client_44,165,"[55, 0, 0, 55, 0, 0, 0, 55, 0, 0]"
client_45,155,"[0, 0, 0, 0, 52, 52, 51, 0, 0, 0]"
client_46,152,"[50, 0, 51, 0, 0, 0, 0, 51, 0, 0]"
client_47,158,"[52, 0, 0, 0, 0, 0, 0, 53, 53, 0]"
client_48,155,"[0, 0, 0, 0, 51, 0, 0, 0, 52, 52]"
client_49,161,"[0, 0, 0, 0, 54, 0, 53, 54, 0, 0]"
client_50,163,"[54, 0, 54, 0, 0, 0, 0, 0, 0, 55]"
client_51,163,"[0, 55, 0, 54, 0, 54, 0, 0, 0, 0]"
client_52,148,"[0, 0, 50, 0, 0, 49, 49, 0, 0, 0]"
client_53,175,"[0, 0, 0, 58, 0, 58, 0, 0, 59, 0]"
client_54,149,"[0, 50, 0, 0, 50, 0, 0, 0, 0, 49]"
client_55,164,"[0, 0, 0, 0, 0, 0, 0, 55, 54, 55]"
client_56,170,"[0, 56, 0, 0, 0, 0, 57, 0, 0, 57]"
client_57,181,"[0, 0, 61, 0, 60, 0, 60, 0, 0, 0]"
client_58,178,"[0, 59, 0, 60, 0, 0, 0, 0, 59, 0]"
client_59,159,"[0, 0, 0, 53, 0, 53, 0, 0, 53, 0]"
client_60,155,"[0, 0, 52, 0, 0, 0, 51, 0, 52, 0]"
client_61,173,"[0, 0, 0, 0, 57, 0, 58, 58, 0, 0]"
client_62,150,"[50, 0, 50, 0, 0, 0, 0, 50, 0, 0]"
client_63,170,"[0, 0, 0, 56, 57, 0, 0, 0, 0, 57]"
client_64,181,"[0, 0, 0, 60, 0, 0, 61, 60, 0, 0]"
client_65,171,"[0, 57, 0, 0, 0, 0, 0, 57, 57, 0]"
client_66,154,"[0, 0, 0, 51, 0, 0, 0, 52, 51, 0]"
client_67,161,"[0, 0, 0, 0, 0, 0, 54, 0, 53, 54]"
client_68,171,"[0, 0, 0, 57, 0, 57, 57, 0, 0, 0]"
client_69,171,"[0, 0, 0, 0, 57, 0, 57, 57, 0, 0]"
client_70,139,"[47, 0, 0, 46, 0, 46, 0, 0, 0, 0]"
client_71,156,"[52, 0, 0, 0, 0, 0, 52, 52, 0, 0]"
client_72,153,"[51, 0, 0, 0, 51, 0, 0, 51, 0, 0]"
client_73,162,"[54, 0, 0, 0, 54, 0, 0, 54, 0, 0]"
client_74,164,"[55, 55, 54, 0, 0, 0, 0, 0, 0, 0]"
client_75,137,"[0, 45, 0, 46, 0, 0, 0, 0, 0, 46]"
client_76,157,"[0, 0, 53, 0, 52, 0, 52, 0, 0, 0]"
client_77,167,"[0, 0, 56, 0, 56, 55, 0, 0, 0, 0]"
client_78,176,"[0, 59, 0, 59, 0, 58, 0, 0, 0, 0]"
client_79,165,"[0, 55, 0, 0, 0, 0, 55, 55, 0, 0]"
client_80,158,"[0, 0, 0, 0, 53, 52, 53, 0, 0, 0]"
client_81,151,"[0, 0, 0, 0, 50, 0, 51, 0, 50, 0]"
client_82,181,"[60, 0, 0, 0, 60, 0, 0, 0, 0, 61]"
client_83,160,"[0, 54, 0, 0, 0, 0, 0, 53, 53, 0]"
client_84,159,"[0, 0, 53, 0, 0, 0, 53, 0, 0, 53]"
client_85,159,"[0, 0, 0, 0, 53, 0, 53, 0, 0, 53]"
client_86,145,"[48, 0, 0, 49, 0, 0, 0, 0, 0, 48]"
client_87,139,"[0, 0, 0, 0, 0, 47, 46, 0, 0, 46]"
client_88,150,"[0, 0, 0, 50, 0, 0, 50, 50, 0, 0]"
