label,method,model,metric,round,accuracy_percent,run_dir
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,0,11.91,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,1,20.349999999999998,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,2,25.95,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,3,34.06,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,4,37.41,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,5,42.44,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,6,42.93,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,7,45.0,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,8,46.339999999999996,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,9,46.81,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,10,48.11,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,11,46.650000000000006,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,12,52.28,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,13,49.04,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,14,54.87,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,15,51.21,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,16,56.76,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,17,54.669999999999995,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,18,58.76,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,19,56.489999999999995,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,20,59.39,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
