method,alpha,N,lambda,final_acc,best_acc,best_round,last10_mean,run_dir
FOLA,0.01,20,1,0.7022,0.7022,50,0.68925,outputs/debug_mnist_fola_a0p01_n20_lr001_b32_e5_lam1_r50_20260910_113410
FOLA,0.01,20,10,0.605,0.605,50,0.57834,outputs/debug_mnist_fola_a0p01_n20_lr001_b32_e5_lam10_r50_20260910_114656
FOLA,0.01,20,100,0.5233,0.5233,50,0.51055,outputs/debug_mnist_fola_a0p01_n20_lr001_b32_e5_lam100_r50_20260910_115942
FedAvg,0.01,20,-,0.7356,0.7356,50,0.72819,outputs/debug_mnist_fedavg_a0p01_n20_lr001_b32_e5_r50_20260910_112454
FOLA,0.01,50,1,0.7223,0.7223,50,0.70858,outputs/debug_mnist_fola_a0p01_n50_lr001_b32_e5_lam1_r50_20260910_122144
FOLA,0.01,50,10,0.6883,0.6883,50,0.67733,outputs/debug_mnist_fola_a0p01_n50_lr001_b32_e5_lam10_r50_20260910_123500
FOLA,0.01,50,100,0.6733,0.6746,49,0.6641,outputs/debug_mnist_fola_a0p01_n50_lr001_b32_e5_lam100_r50_20260910_124816
FedAvg,0.01,50,-,0.7374,0.738,49,0.72624,outputs/debug_mnist_fedavg_a0p01_n50_lr001_b32_e5_r50_20260910_121228
FOLA,0.01,100,1,0.8562,0.8562,50,0.84856,outputs/debug_mnist_fola_a0p01_n100_lr001_b32_e5_lam1_r50_20260910_131317
FOLA,0.01,100,10,0.8241,0.8241,50,0.80951,outputs/debug_mnist_fola_a0p01_n100_lr001_b32_e5_lam10_r50_20260910_132833
FOLA,0.01,100,100,0.7675,0.7699,47,0.754,outputs/debug_mnist_fola_a0p01_n100_lr001_b32_e5_lam100_r50_20260910_134320
FedAvg,0.01,100,-,0.8624,0.8624,50,0.85709,outputs/debug_mnist_fedavg_a0p01_n100_lr001_b32_e5_r50_20260910_130131
FOLA,0.1,20,0.1,0.9507,0.9511,49,0.94898,outputs/debug_mnist_fola_a0p1_n20_lr001_b32_e5_lam0p1_r50_20260910_113540
FOLA,0.1,20,1,0.9463,0.9468,49,0.94436,outputs/debug_mnist_fola_a0p1_n20_lr001_b32_e5_lam1_r50_20260910_115056
FOLA,0.1,20,10,0.9253,0.9255,49,0.92059,outputs/debug_mnist_fola_a0p1_n20_lr001_b32_e5_lam10_r50_20260910_120612
FedAvg,0.1,20,-,0.9514,0.9516,49,0.94996,outputs/debug_mnist_fedavg_a0p1_n20_lr001_b32_e5_r50_20260910_112455
FOLA,0.1,50,0.1,0.9473,0.9473,50,0.94576,outputs/debug_mnist_fola_a0p1_n50_lr001_b32_e5_lam0p1_r50_20260910_123214
FOLA,0.1,50,1,0.9457,0.9457,50,0.9426,outputs/debug_mnist_fola_a0p1_n50_lr001_b32_e5_lam1_r50_20260910_124700
FOLA,0.1,50,10,0.9245,0.9245,50,0.91827,outputs/debug_mnist_fola_a0p1_n50_lr001_b32_e5_lam10_r50_20260910_130146
FedAvg,0.1,50,-,0.9479,0.9479,50,0.94612,outputs/debug_mnist_fedavg_a0p1_n50_lr001_b32_e5_r50_20260910_122128
FOLA,0.1,100,0.1,0.9416,0.9416,50,0.93933,outputs/debug_mnist_fola_a0p1_n100_lr001_b32_e5_lam0p1_r50_20260910_132818
FOLA,0.1,100,1,0.9393,0.9393,50,0.93711,outputs/debug_mnist_fola_a0p1_n100_lr001_b32_e5_lam1_r50_20260910_134335
FOLA,0.1,100,10,0.9274,0.9274,50,0.92379,outputs/debug_mnist_fola_a0p1_n100_lr001_b32_e5_lam10_r50_20260910_135721
FedAvg,0.1,100,-,0.9418,0.9418,50,0.93968,outputs/debug_mnist_fedavg_a0p1_n100_lr001_b32_e5_r50_20260910_131632
