status,method,alpha,N,E,lambda,rounds_completed,acc_r10,acc_r20,acc_r30,acc_r40,acc_r50,final_acc,best_acc,best_round,last10_mean,mean_acc_r1_r50,round_to_70,round_to_80,round_to_90,round_to_94,final_nll,final_ece,run_dir,config
COMPLETE,fedavg,0.01,100,5,,50,0.6553,0.7739,0.8306,0.8503,0.8624,0.8624,0.8624,50,0.85709,0.737128,13,25,,,0.41697712975406387,0.037789764933288075,outputs/debug_mnist_fedavg_a0p01_n100_lr001_b32_e5_r50_20260910_130131,scripts/configs/debug_mnist_fedavg_a0p01_n100_lr001_b32_e5_r50.yaml
COMPLETE,fola,0.01,100,5,1.0,50,0.607,0.7397,0.8087,0.8395,0.8562,0.8562,0.8562,50,0.84856,0.711574,16,30,,,0.44203321172679627,0.0457271480888128,outputs/debug_mnist_fola_a0p01_n100_lr001_b32_e5_lam1_r50_20260910_131317,scripts/configs/debug_mnist_fola_a0p01_n100_lr001_b32_e5_lam1_r50.yaml
COMPLETE,fola,0.01,100,5,10.0,50,0.5022,0.6582,0.7553,0.7998,0.8241,0.8241,0.8241,50,0.80951,0.656944,23,41,,,0.5399340667758538,0.06719356453567743,outputs/debug_mnist_fola_a0p01_n100_lr001_b32_e5_lam10_r50_20260910_132833,scripts/configs/debug_mnist_fola_a0p01_n100_lr001_b32_e5_lam10_r50.yaml
COMPLETE,fola,0.01,100,5,100.0,50,0.5737,0.6053,0.6842,0.7328,0.7675,0.7675,0.7699,47,0.754,0.610352,32,,,,0.7941071824725501,0.17914056360721586,outputs/debug_mnist_fola_a0p01_n100_lr001_b32_e5_lam100_r50_20260910_134320,scripts/configs/debug_mnist_fola_a0p01_n100_lr001_b32_e5_lam100_r50.yaml
COMPLETE,fedavg,0.01,100,10,,50,0.6812,0.8102,0.8478,0.8656,0.873,0.873,0.873,50,0.86997,0.761106,11,20,,,0.37954227802320745,0.01635142922699457,outputs/debug_mnist_fedavg_a0p01_n100_lr001_b32_e10_r50_20260910_141331,scripts/configs/debug_mnist_fedavg_a0p01_n100_lr001_b32_e10_r50.yaml
COMPLETE,fola,0.01,100,10,0.1,50,0.6702,0.8035,0.8438,0.8636,0.8727,0.8727,0.8727,50,0.86949,0.754558,12,20,,,0.3822936949648259,0.015411590579152078,outputs/debug_mnist_fola_a0p01_n100_lr001_b32_e10_lam0p1_r50_20260910_142947,scripts/configs/debug_mnist_fola_a0p01_n100_lr001_b32_e10_lam0p1_r50.yaml
COMPLETE,fola,0.01,100,10,0.3,50,0.6467,0.7914,0.8385,0.8607,0.8704,0.8704,0.8704,50,0.86639,0.743824,13,22,,,0.3897449974192506,0.017632882355153562,outputs/debug_mnist_fola_a0p01_n100_lr001_b32_e10_lam0p3_r50_20260910_145303,scripts/configs/debug_mnist_fola_a0p01_n100_lr001_b32_e10_lam0p3_r50.yaml
COMPLETE,fola,0.01,100,10,1.0,50,0.6068,0.7634,0.8212,0.8526,0.8652,0.8652,0.8652,50,0.85912,0.72313,15,25,,,0.4083972314300867,0.024308590780198567,outputs/debug_mnist_fola_a0p01_n100_lr001_b32_e10_lam1_r50_20260910_151650,scripts/configs/debug_mnist_fola_a0p01_n100_lr001_b32_e10_lam1_r50.yaml
COMPLETE,fedavg,0.01,100,20,,50,0.7245,0.8311,0.8582,0.868,0.8787,0.8787,0.8787,50,0.87428,0.779766,10,16,,,0.36566766209810203,0.008779923054575893,outputs/debug_mnist_fedavg_a0p01_n100_lr001_b32_e20_r50_20260910_154036,scripts/configs/debug_mnist_fedavg_a0p01_n100_lr001_b32_e20_r50.yaml
COMPLETE,fola,0.01,100,20,0.1,50,0.6999,0.8219,0.8532,0.868,0.8769,0.8769,0.8769,50,0.87248,0.768846,11,17,,,0.3707718547087929,0.00797424345463509,outputs/debug_mnist_fola_a0p01_n100_lr001_b32_e20_lam0p1_r50_20260910_160853,scripts/configs/debug_mnist_fola_a0p01_n100_lr001_b32_e20_lam0p1_r50.yaml
COMPLETE,fola,0.01,100,20,0.3,50,0.6738,0.8077,0.8484,0.8643,0.8726,0.8726,0.8726,50,0.86869,0.755574,12,19,,,0.3808476805043107,0.005826777912676396,outputs/debug_mnist_fola_a0p01_n100_lr001_b32_e20_lam0p3_r50_20260910_164941,scripts/configs/debug_mnist_fola_a0p01_n100_lr001_b32_e20_lam0p3_r50.yaml
COMPLETE,fola,0.01,100,20,1.0,50,0.6272,0.7728,0.8329,0.8531,0.8662,0.8662,0.8662,50,0.86095,0.731738,14,24,,,0.39779589041874075,0.006768455541133922,outputs/debug_mnist_fola_a0p01_n100_lr001_b32_e20_lam1_r50_20260910_173029,scripts/configs/debug_mnist_fola_a0p01_n100_lr001_b32_e20_lam1_r50.yaml
