round,accuracy,nll,brier,ece,mce,mean_confidence,predictive_entropy,expected_entropy,mutual_information
0.0,0.1191,2.3090767691948133,0.9012682132533999,0.004111658821254971,0.048416803476580395,0.11940395365580916,2.2944285180585013,2.2944285180585013,0.0
1.0,0.1426,2.3292631480386845,0.9043838509310433,0.0265932563588023,0.12039772272109989,0.1658758298560977,2.24790833464958,2.24790833464958,0.0
2.0,0.1975,2.402156873712636,0.9129616471382347,0.02284202992469072,0.25516492625077564,0.21213778180629014,2.144972314053399,2.144972314053399,0.0
3.0,0.2094,2.4183820050158515,0.9126722583634579,0.055330494247376925,0.3998468518257141,0.25639899890869855,2.0636049606469515,2.0636049606469515,0.0
4.0,0.2294,2.3903283990630553,0.9030607766114114,0.06503624757379294,0.20626562237739565,0.2877768459126353,2.023660909638095,2.023660909638095,0.0
5.0,0.2513,2.3581309812082916,0.8934774836008963,0.057964309318363674,0.8339984714984894,0.3092643093183637,1.9872096999948488,1.9872096999948488,0.0
6.0,0.2531,2.3142491354730783,0.8855441110665503,0.07010521529912947,0.3127325347491673,0.32217725241184236,1.970239845215794,1.970239845215794,0.0
7.0,0.2469,2.3119257525173276,0.8886269979974235,0.0986597356379032,0.4512210488319397,0.3455597356379032,1.9216957301412818,1.9216957301412818,0.0
8.0,0.2527,2.2657291457135087,0.8786272258820705,0.0971530318826437,0.44937801361083984,0.3498530318826437,1.9195178992610373,1.9195178992610373,0.0
9.0,0.2486,2.2514840908559597,0.8747860568968119,0.1028068393751979,0.4495638807614645,0.35139367105215785,1.9115810940147595,1.9115810940147595,0.0
10.0,0.2426,2.221389669615577,0.8703134022483693,0.10418845177590848,0.35524710416793825,0.34678845177590845,1.9144137634748177,1.9144137634748177,0.0
11.0,0.2446,2.20216469731295,0.867464727285687,0.10835727331787348,0.28617869317531586,0.35286196697801353,1.9023060996806576,1.9023060996806576,0.0
12.0,0.2415,2.1785878685314346,0.8636570367460467,0.11041504994854331,0.19606611842200872,0.35189310074225066,1.896141422338131,1.896141422338131,0.0
13.0,0.2425,2.1872879574716713,0.8681904283066704,0.12970284195393325,0.2582578604871576,0.3720612920925021,1.853573645925082,1.853573645925082,0.0
14.0,0.247,2.1687295522518406,0.8630019429430725,0.11923868438228967,0.23400834368334877,0.36591863752380016,1.8588997905332227,1.8588997905332227,0.0
15.0,0.2616,2.131227127453965,0.8502442373596015,0.09544893260747198,0.21827531286648338,0.35704893260747195,1.8746049227100008,1.8746049227100008,0.0
16.0,0.2664,2.12634736106909,0.8488480150063409,0.0930848357051611,0.17434694369633996,0.3594848357051611,1.8638497790068163,1.8638497790068163,0.0
17.0,0.279,2.0892212952280276,0.8381539582797368,0.0782037224918604,0.17551193655805375,0.3572037224918604,1.870244009847787,1.870244009847787,0.0
18.0,0.2811,2.0757175584130176,0.8354549672677842,0.07529323053136468,0.1978053682380252,0.3563932305313647,1.8682353034689048,1.8682353034689048,0.0
19.0,0.2815,2.078326037254543,0.836842311368212,0.08479921129494905,0.21599456040482767,0.3662992112949491,1.8444878155257343,1.8444878155257343,0.0
20.0,0.2936,2.0628081172967048,0.8302429485704588,0.0805508442416787,0.23581314446339052,0.3741508442416787,1.8271285963301653,1.8271285963301653,0.0
21.0,0.2911,2.0686878173899967,0.8323410150800311,0.08318702125549314,0.17429515904787052,0.3742870212554932,1.8238669865732604,1.8238669865732604,0.0
22.0,0.3076,2.03306951042178,0.8189074596764687,0.06698929098844529,0.16968861431073234,0.3745892909884453,1.8217617928399108,1.8217617928399108,0.0
23.0,0.3094,2.0216901136661156,0.8164344167041548,0.06344965299516916,0.20683883805319947,0.37284965299516915,1.8203831006061948,1.8203831006061948,0.0
24.0,0.3083,2.010624853964838,0.8171210420956744,0.06703373638391495,0.19680571627049226,0.37528694659769535,1.8127774042552431,1.8127774042552431,0.0
25.0,0.3187,2.001628729978178,0.8105319971202247,0.06592526292204857,0.179853523518406,0.3844046664685011,1.7972689990177135,1.7972689990177135,0.0
26.0,0.3158,1.9985791893995246,0.8116234955248111,0.0685204471409321,0.16911227969413112,0.3842741249769926,1.7938555269332486,1.7938555269332486,0.0
27.0,0.3185,1.970048333214791,0.8046884091066879,0.057356034225970506,0.15695243232820655,0.3758371157221496,1.8061530175127154,1.8061530175127154,0.0
28.0,0.3232,1.978370990446566,0.8049030160786403,0.0668270797789097,0.17579146477743535,0.38998291077315805,1.7761577278444431,1.7761577278444431,0.0
29.0,0.3311,1.962990169197074,0.7979888834031523,0.06512711028009653,0.15200875677713532,0.3961322410389781,1.762849677308594,1.762849677308594,0.0
30.0,0.3365,1.9549200886360778,0.7944708590128795,0.06525754082351924,0.15848342394619663,0.4017575408235192,1.7506913327412807,1.7506913327412807,0.0
31.0,0.3355,1.9537508857944088,0.7958275937039775,0.06810326492786407,0.14670424414616,0.4035870599478483,1.7404737212106633,1.7404737212106633,0.0
32.0,0.3277,1.9630537874707799,0.8002334345283543,0.08144282577782867,0.1518560760924893,0.4091428257778287,1.7281282872233366,1.7281282872233366,0.0
33.0,0.3386,1.9495095796148096,0.7933079645526196,0.0842037232607603,0.14794815627355418,0.4228037232607603,1.6958941809568089,1.6958941809568089,0.0
34.0,0.3442,1.914594582533558,0.7844898138319321,0.06538005490899088,0.1352574751464598,0.40958005490899085,1.7210360056388334,1.7210360056388334,0.0
35.0,0.3325,1.963848712860945,0.8006254770764715,0.0911851580940187,0.21295526490588368,0.4236851580940187,1.6866532143522701,1.6866532143522701,0.0
36.0,0.3401,1.9473674254772526,0.7933652314579175,0.0897997556567192,0.15941540804065646,0.42989975565671923,1.671769691549417,1.671769691549417,0.0
37.0,0.3464,1.938533822039553,0.7884017012637733,0.08675185596346854,0.20446921388308206,0.4330291744351387,1.668765660622187,1.668765660622187,0.0
38.0,0.3446,1.922917966813307,0.7864537506086432,0.08629313972890379,0.13409156252624121,0.430096553876996,1.6688154915553812,1.6688154915553812,0.0
39.0,0.3485,1.8995732375020784,0.7799849082889139,0.07688754468560219,0.14008546052155668,0.4253875446856022,1.6797701391482296,1.6797701391482296,0.0
40.0,0.3487,1.9142394857650935,0.7832476463108311,0.08702114023715259,0.130927576031877,0.4357211402371526,1.6546895738633678,1.6546895738633678,0.0
41.0,0.349,1.9029693798395186,0.7801995672737301,0.08540417064428328,0.13055477113459768,0.43440417064428327,1.6557658359304936,1.6557658359304936,0.0
42.0,0.3515,1.8928241037280278,0.7783888444601719,0.08303304060846564,0.13281607627868652,0.43453304060846565,1.6520083031169954,1.6520083031169954,0.0
43.0,0.3455,1.9140664214866396,0.7845132396253842,0.09855425074696542,0.14786250386387112,0.4440542507469654,1.6270162981228542,1.6270162981228542,0.0
44.0,0.3438,1.92451071380941,0.787301685415553,0.1066705997020006,0.14930615557133176,0.4504705997020006,1.6137678403488944,1.6137678403488944,0.0
45.0,0.3523,1.8905455784357903,0.7769477598751272,0.09830976614803077,0.1325902234384343,0.4506097661480308,1.608798232114125,1.608798232114125,0.0
46.0,0.3495,1.9014603551425888,0.7824305028911515,0.10481700723916293,0.14712124918145147,0.4543170072391629,1.5939516266610867,1.5939516266610867,0.0
47.0,0.3502,1.8976046324232538,0.7831468361521912,0.10153286405801773,0.15691318329919146,0.4517328640580177,1.595665755375068,1.595665755375068,0.0
48.0,0.3607,1.8645421429694775,0.7708010300421028,0.09697281213998794,0.15010739309189902,0.45767281213998795,1.5833511616875848,1.5833511616875848,0.0
49.0,0.3559,1.878671946081339,0.7752395155471697,0.1079990481093526,0.1554855418421025,0.46389904810935256,1.567886522269418,1.567886522269418,0.0
50.0,0.3587,1.8704200708701333,0.7723879597418974,0.10507975168675183,0.1652534527633026,0.46377975168675184,1.5691854400519194,1.5691854400519194,0.0
51.0,0.351,1.8970536199996442,0.7827161289505528,0.11553222793638704,0.1713065690854017,0.46653222793638705,1.5613822608405608,1.5613822608405608,0.0
52.0,0.3595,1.8687382032139914,0.7734028500065258,0.11037394157052038,0.15168760782757468,0.4698739415705204,1.5508799461527898,1.5508799461527898,0.0
53.0,0.3573,1.8569766326517638,0.7741963269126434,0.10090346865206956,0.15456468496284526,0.45820346865206957,1.5696626294804148,1.5696626294804148,0.0
54.0,0.3675,1.8319095504684102,0.7636713067047263,0.09775728206038473,0.8732515871524811,0.4650826317429543,1.5549958824634864,1.5549958824634864,0.0
55.0,0.366,1.850562814578494,0.7662701479544383,0.10764052810072898,0.1708707918129076,0.473640528100729,1.5345221304677767,1.5345221304677767,0.0
56.0,0.3637,1.8531778585325926,0.7711902563355606,0.11115642324388025,0.16981732242056974,0.4748564232438803,1.531391217044585,1.531391217044585,0.0
57.0,0.3669,1.8363596640802091,0.7661815612158552,0.09981285467147825,0.16277032299458893,0.4663899989485741,1.5459515854457895,1.5459515854457895,0.0
58.0,0.3664,1.8355219690639448,0.7659243784005134,0.09771744963973761,0.16165846341516266,0.4641174496397376,1.5501662653326078,1.5501662653326078,0.0
59.0,0.373,1.8097570511555094,0.7607477502330942,0.09722539556473493,0.17003866883686614,0.4702253955647349,1.535358521340311,1.535358521340311,0.0
60.0,0.3766,1.8096579463317175,0.7591060069093886,0.09363234885632989,0.1554367961535542,0.4701232617139816,1.5305933713813618,1.5305933713813618,0.0
61.0,0.3803,1.7974475511846384,0.7525865481381564,0.09724595499038695,0.16600113324264976,0.477545954990387,1.515316435555087,1.515316435555087,0.0
62.0,0.3762,1.8353396386679677,0.7615586685600788,0.118989178173244,0.2044067351491588,0.495189178173244,1.475110305148031,1.475110305148031,0.0
