round,num_clients,num_examples,client_id,effective_prior_lambda,local_steps,lr,posterior_mean_abs_mean,posterior_precision_max,posterior_precision_mean,posterior_precision_min,posterior_sigma_mean,prior_loss,server_round,task_loss,train_accuracy,train_loss,update_l2,update_max_abs,update_rms,variance_floor_fraction
1,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.026303228801949782,1.9851786552580544,0.00020679411032375835,1.13768804139558e-12,8130.076112221729,0.0,1.0,0.3368309727534034,0.8272890915636626,0.3368309727534034,1.2906883420790285,0.12156341503655511,0.0013953770731741663,0.0
2,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.017731407542060616,1.5247985222152798,0.0003803199848899299,2.17243845685546e-11,431.3450487683206,0.0038407656889301875,2.0,0.2765533595973601,0.8617744709788389,0.2765917673393673,1.2336846120565592,0.10048661573387928,0.0013337497264588175,0.0
3,20,6884.085363414537,11.152046081843274,0.01,2156.5328613144525,0.01,0.015357558701121689,1.5532225206583146,0.0005490628992605295,6.084346915180561e-11,374.4910955687603,0.0031726246871629743,3.0,0.254056750983551,0.8753530141205651,0.2540884771478031,1.168029537687498,0.0893467406585173,0.0012627693181562496,0.0
4,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.014105062677046091,1.708944254440996,0.0007160645910932565,6.084346915180561e-11,357.98315080920315,0.0027011762583241056,4.0,0.2384332115839541,0.8844893795751833,0.2384602233350235,1.137947389613379,0.0835109645232324,0.0012302471837524929,0.0
5,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.013290632942079684,1.89722458181765,0.0008817687336130705,6.084346915180561e-11,347.6637185529384,0.0023870728765238917,5.0,0.2275803176191426,0.8918376735069402,0.22760418834419863,1.1106151232391768,0.08280506475050978,0.001200697976083183,0.0
6,20,6884.085363414537,11.152046081843274,0.01,2156.5328613144525,0.01,0.01270319296654914,2.0512297001355764,0.0010447777569972236,6.084346915180561e-11,340.4781816706385,0.0020592684790994827,6.0,0.21853112006235134,0.8967238689547584,0.2185517127552547,1.0826823728260493,0.07677086063757282,0.0011704995786494604,0.0
7,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.012251428766884032,2.2302028720433906,0.0012071874081237644,6.084346915180561e-11,334.9457981241099,0.001850099776062384,7.0,0.2126421966809544,0.9005660226409058,0.21266069765005344,1.0598766524980674,0.07414096120875036,0.0011458440686820984,0.0
8,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.011890442401171568,2.393146132110543,0.0013694974336494986,6.084346915180561e-11,330.349981019755,0.0016964489072441831,8.0,0.2066225756535565,0.9035761430457221,0.20663954015819008,1.0372370620468787,0.07133119427288498,0.001121368163514507,0.0
9,20,6884.085363414537,11.152046081843274,0.01,2156.5328613144525,0.01,0.011594565212747075,2.5833072075343493,0.001532682266841142,6.084346915180561e-11,326.477310311796,0.0015680523660163894,9.0,0.20168296743682307,0.9066602664106563,0.20169864788140318,1.0223197866560043,0.06854344813551844,0.0011052409363628913,0.0
10,20,6884.085363414537,11.152046081843274,0.01,2156.5328613144525,0.01,0.011346447946944104,2.7500788064674215,0.0016975223139002492,6.084346915180561e-11,323.20337110736074,0.0014461456695353747,10.0,0.197236103076331,0.9090583623344934,0.19725056450317544,1.0112087209981995,0.06622686101639813,0.0010932286435637944,0.0
