round,num_clients,num_examples,client_id,effective_prior_lambda,local_steps,lr,posterior_mean_abs_mean,posterior_precision_max,posterior_precision_mean,posterior_precision_min,posterior_sigma_mean,prior_loss,server_round,task_loss,train_accuracy,train_loss,update_l2,update_max_abs,update_rms,variance_floor_fraction
1,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.02628481192676439,12.979777231006816,0.0008494785237420457,1.0287937691333376e-13,1592.5736449876513,0.0,1.0,1.1624961863969974,0.5783892186747953,1.1624961863969974,0.8796788546971409,0.11372423254610299,0.0009510302879340178,0.0
2,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.020059279419914717,5.092348903441494,0.0010139623794002907,1.6408046126175375e-13,546.0095832693285,0.012574132069311133,2.0,1.0388670562385327,0.600304829135248,1.0401244699281411,0.6676482010830993,0.07009011067328327,0.00072180166378251,0.0
3,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.017823136146109107,4.928292346922521,0.0011803901928375765,1.6408045983105218e-13,518.4139407747776,0.009325311507104578,3.0,1.0096083860788194,0.617888657147441,1.0105409155719753,0.7461847598722795,0.07037448391792574,0.0008067083836835311,0.0
4,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.019999999999999997,0.016520406564302897,5.1805845506497645,0.0013815279833619947,1.6408045983105218e-13,503.46383035055237,0.007984111368719548,4.0,0.9694064312651407,0.6499438472645597,0.9702048419672471,0.8036563131465755,0.07298970950349999,0.0008688414991570026,0.0
5,20,680.9085512594256,11.712658430932136,0.09999999999999999,218.0555109898925,0.02,0.01564058554817992,5.2071974358971005,0.0015886159546002257,1.6408045983105218e-13,493.85333990140674,0.006952144042527134,5.0,0.9318585377340138,0.6687790790951388,0.9325537531179586,0.7897721211866263,0.07018022563594763,0.000853831149633542,0.0
6,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.014989918782816025,5.372168411819162,0.001796913171035802,1.6408045983105218e-13,487.23774612652153,0.006056483269177865,6.0,0.9061148048250478,0.6817423391625221,0.9067204530334281,0.7504716110328777,0.07528289710093077,0.0008113429446620343,0.0
7,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.01447989437922159,5.653369179243225,0.002004985704878315,1.6408045983105218e-13,482.6203653765981,0.005735410471368107,7.0,0.8860479024019391,0.6872132199582867,0.8866214443987914,0.7456461170637082,0.07285359686758437,0.0008061260511395646,0.0
8,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.014063074800593576,5.882150927267774,0.002218505732179108,1.6408045983105218e-13,479.0921429840828,0.005509684991207886,8.0,0.8712049308141074,0.6913685223808762,0.8717558989050601,0.7427675067764433,0.07526279236304326,0.0008030139545423472,0.0
9,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.013713305108190087,6.1693621905030165,0.002425414702228148,1.6408045983105218e-13,476.2112879202221,0.005114638033328237,9.0,0.8550089182856617,0.6992780362586234,0.8555203820800042,0.7235181174564945,0.06998840866369248,0.000782203232345543,0.0
10,20,680.9085512594256,11.712658430932136,0.10000000000000003,218.0555109898925,0.02,0.013413691686077802,6.464630772400759,0.0026295091047993328,1.6408045983105218e-13,473.84825676268343,0.005007743538617698,10.0,0.8412067638058379,0.705631317182737,0.8417075384541515,0.7358529351836667,0.06904014266791896,0.0007955385366921785,0.0
