round,num_clients,num_examples,bayesian_dimension,client_id,complexity_per_weight,effective_kl_weight,local_steps,lr,posterior_mu_abs_mean,posterior_sigma_max,posterior_sigma_mean,posterior_sigma_min,posterior_snr_mean,resolved_kl_weight,rho_grad_l2_mean,rho_grad_nonzero_fraction,rho_update_l2,server_round,task_loss,train_accuracy,train_loss,update_l2,update_max_abs,update_rms,variance_floor_fraction
1,20,3855.5824989987987,878538.0,9.575570684821786,2.5307311329152813,1.7575630225246247e-06,305.23127753303964,0.01,0.08024823576480643,0.07759173510587691,0.048815090905575405,0.029527620286950253,1.659664099993046,1.1382546913167103e-06,0.13509744401031606,1.0,0.07263223882766309,1.0,1.293665260898948,0.6656768121746094,1.4209146999426014,12.575641525890926,0.8150707547761634,0.009487130526268213,0.0
2,20,3855.5824989987987,878538.0,9.575570684821786,2.530687966944325,1.7575630225246247e-06,305.23127753303964,0.009999846564125248,0.07991359728143005,0.07759173352249556,0.04881508783317103,0.02952762368647424,1.6527383438685608,1.1382546913167101e-06,0.016681070240281034,1.0,0.004151066269294104,2.0,0.9191630812414281,0.6564677613135763,1.04641043531764,2.483129857680734,0.6017439961714262,0.0018732863071032847,0.0
3,20,3855.5824989987987,878538.0,9.575570684821786,2.5307003712866787,1.7575630225246247e-06,305.23127753303964,0.009999386266013143,0.07991747428328345,0.07759173352249557,0.04881508632823853,0.029527623686474245,1.6528193337340227,1.1382546913167101e-06,0.016168551992819736,1.0,0.004036893186219488,3.0,0.9141922546498342,0.6595374449339207,1.0414402174431059,2.3512784323329186,0.5382478480069522,0.0017738168939704538,0.0
4,20,3855.5824989987987,878538.0,9.575570684821786,2.5306852649660962,1.7575630225246247e-06,305.23127753303964,0.009998619134199537,0.07992092271932093,0.07759173352249554,0.04881508475426251,0.029527623686474238,1.652890967618385,1.1382546913167103e-06,0.016729009992882196,1.0,0.004183535861191951,4.0,0.9090610313734221,0.66094913896676,1.0363082743369263,2.2847946210323165,0.4834697974873367,0.0017236611548462092,0.0
5,20,3855.5824989987987,878538.0,9.575570684821786,2.5307023838933516,1.7575630225246247e-06,305.23127753303964,0.009997545216242224,0.0799235363087335,0.07759173352249556,0.04881508299450755,0.02952762368647424,1.652945327309334,1.1382546913167101e-06,0.018148864010124072,1.0,0.004416856052871169,5.0,0.9036496254193789,0.6636283540248297,1.0308975797561308,2.2657090933668234,0.45160013051896775,0.001709262931761331,0.0
6,20,3855.5824989987987,878538.0,9.575570684821786,2.530674714819904,1.7575630225246251e-06,305.23127753303964,0.009996164578717992,0.0799252317657115,0.07759173352249556,0.048815080878256034,0.029527623686474238,1.6529802979409967,1.1382546913167105e-06,0.01905298785157194,1.0,0.004700066170291907,6.0,0.8989970702683557,0.6657248698438126,1.0262436446630756,2.233296597575957,0.4256569804119832,0.0016848107733869865,0.0
7,20,3855.5824989987987,878538.0,9.575570684821786,2.530686509212628,1.7575630225246247e-06,305.23127753303964,0.009994477307218492,0.07992613869843271,0.07759173352249554,0.04881507822613752,0.02952762368647424,1.6529989331073527,1.1382546913167103e-06,0.0224162557761306,1.0,0.005513479155695141,7.0,0.8909429102199469,0.6686904285142171,1.0181901589875335,2.2517701023173817,0.40521487430149067,0.0016987472831386922,0.0
8,20,3855.5824989987987,878538.0,9.575570684821786,2.530685509624813,1.7575630225246251e-06,305.23127753303964,0.009992483506344916,0.07992636717599527,0.07759173352249554,0.048815074171396765,0.02952762368647424,1.6530043168670567,1.1382546913167101e-06,0.028850390008908152,1.0,0.006853984482964495,8.0,0.8722844661338298,0.6737605126151381,0.9995315873738966,2.320716325642434,0.39076393765073253,0.0017507606789269976,0.0
9,20,3855.5824989987987,878538.0,9.575570684821786,2.5306885788771694,1.7575630225246247e-06,305.23127753303964,0.009990183299701546,0.07992449111843936,0.07759173352249556,0.04881506914034409,0.029527623686474238,1.6529658738683382,1.1382546913167103e-06,0.03194732143870964,1.0,0.008415197376940303,9.0,0.8610235042449191,0.6800921105326392,0.9882708576763504,2.2914467086811987,0.370531374077379,0.0017286795249760508,0.0
10,20,3855.5824989987987,878538.0,9.575570684821786,2.530679806751763,1.7575630225246245e-06,305.23127753303964,0.009987576829888068,0.0799228232133405,0.07759173352249557,0.04881506384139712,0.029527623686474245,1.65293127194039,1.1382546913167101e-06,0.03405544589337533,1.0,0.007598468477968848,10.0,0.8456480674225055,0.6843392070484581,0.9728949737423808,2.2629725285916114,0.3607213485160457,0.0017071984528110864,0.0
11,20,3855.5824989987987,878538.0,9.575570684821786,2.5306809613139496,1.7575630225246245e-06,305.23127753303964,0.00998466425849073,0.07992207188540128,0.07759173352249557,0.048815058038520674,0.029527623686474238,1.6529161731086939,1.1382546913167101e-06,0.0348261331537851,1.0,0.008415896674710053,11.0,0.8361311906674324,0.6890548658390067,0.9633781659050813,2.252178290713948,0.3568237868858901,0.0016990552226254824,0.0
