round,parameter,kind,numel,mean_abs,sigma_mean,sigma_min,sigma_max,snr_mean
0,conv1.mu_kernel,bbb,2400,0.08012136816978455,0.04866185784339905,0.03252710774540901,0.06562432646751404,1.6646968126296997
0,conv1.mu_bias,bbb,32,0.08699491620063782,0.05025997385382652,0.040584057569503784,0.0698685273528099,1.7491199970245361
0,conv2.mu_kernel,bbb,51200,0.07989521324634552,0.0488271564245224,0.0324239507317543,0.07459089159965515,1.6518973112106323
0,conv2.mu_bias,bbb,64,0.08530165255069733,0.049654051661491394,0.036570124328136444,0.060356318950653076,1.7349441051483154
0,fc1.mu_weight,bbb,819200,0.07977857440710068,0.048815175890922546,0.029527554288506508,0.07758907973766327,1.6499383449554443
0,fc1.mu_bias,bbb,512,0.08441583812236786,0.04878309369087219,0.03452834114432335,0.06344598531723022,1.7408493757247925
0,fc2.mu_weight,bbb,5120,0.08038932085037231,0.0487380214035511,0.03465588763356209,0.07157289236783981,1.6652297973632812
0,fc2.mu_bias,bbb,10,0.10253419727087021,0.049084167927503586,0.043321285396814346,0.054099928587675095,2.0588676929473877
1,conv1.mu_kernel,bbb,2400,0.0820985957980156,0.0486600287258625,0.03252656012773514,0.06562630087137222,1.704850673675537
1,conv1.mu_bias,bbb,32,0.23472009599208832,0.05026131123304367,0.04057999700307846,0.06987516582012177,4.697170257568359
1,conv2.mu_kernel,bbb,51200,0.08184008300304413,0.048827022314071655,0.0324222557246685,0.07458499073982239,1.6923975944519043
1,conv2.mu_bias,bbb,64,0.11055954545736313,0.049650754779577255,0.0365741141140461,0.060372449457645416,2.245375633239746
1,fc1.mu_weight,bbb,819200,0.07975161820650101,0.04881516844034195,0.02952762506902218,0.07759173214435577,1.649378776550293
1,fc1.mu_bias,bbb,512,0.09455670416355133,0.048783011734485626,0.034528229385614395,0.06344286352396011,1.9479944705963135
1,fc2.mu_weight,bbb,5120,0.07818063348531723,0.04873756319284439,0.03465476632118225,0.07157139480113983,1.619219422340393
1,fc2.mu_bias,bbb,10,0.09310375154018402,0.0490788035094738,0.043315060436725616,0.05410265177488327,1.8335487842559814
2,conv1.mu_kernel,bbb,2400,0.08202946931123734,0.04866001009941101,0.03252654895186424,0.06562642008066177,1.7034659385681152
2,conv1.mu_bias,bbb,32,0.23522025346755981,0.05026114732027054,0.04057995229959488,0.06987516582012177,4.707269191741943
2,conv2.mu_kernel,bbb,51200,0.08184784650802612,0.04882701858878136,0.0324222594499588,0.07458499073982239,1.692555546760559
2,conv2.mu_bias,bbb,64,0.11213207244873047,0.04965047910809517,0.03657383471727371,0.06037219986319542,2.2772369384765625
2,fc1.mu_weight,bbb,819200,0.07975131273269653,0.04881516844034195,0.02952762506902218,0.07759173214435577,1.649373173713684
2,fc1.mu_bias,bbb,512,0.10081461071968079,0.048782479017972946,0.034527603536844254,0.0634402334690094,2.076158285140991
2,fc2.mu_weight,bbb,5120,0.07855681329965591,0.04873744770884514,0.034653812646865845,0.07157084345817566,1.6271140575408936
2,fc2.mu_bias,bbb,10,0.1156378760933876,0.04907368868589401,0.043313752859830856,0.05409786477684975,2.276735782623291
3,conv1.mu_kernel,bbb,2400,0.08199671655893326,0.04865998774766922,0.03252657502889633,0.0656263455748558,1.7027838230133057
3,conv1.mu_bias,bbb,32,0.23494288325309753,0.05026116222143173,0.04057970643043518,0.06987528502941132,4.701411247253418
3,conv2.mu_kernel,bbb,51200,0.08185067772865295,0.04882701858878136,0.0324222594499588,0.07458499073982239,1.6926109790802002
3,conv2.mu_bias,bbb,64,0.11237498372793198,0.04965048283338547,0.03657381236553192,0.06037227809429169,2.2819623947143555
3,fc1.mu_weight,bbb,819200,0.07975104451179504,0.04881516844034195,0.02952762506902218,0.07759173214435577,1.649368405342102
3,fc1.mu_bias,bbb,512,0.10719107836484909,0.048782046884298325,0.034526627510786057,0.06344140321016312,2.207402229309082
3,fc2.mu_weight,bbb,5120,0.078972727060318,0.048737335950136185,0.03465312346816063,0.07157039642333984,1.6358436346054077
3,fc2.mu_bias,bbb,10,0.11599233001470566,0.049063123762607574,0.0433107353746891,0.05408020690083504,2.2804269790649414
4,conv1.mu_kernel,bbb,2400,0.08195202797651291,0.04865996167063713,0.03252660855650902,0.0656261071562767,1.7018122673034668
4,conv1.mu_bias,bbb,32,0.2344800978899002,0.05026116967201233,0.040580105036497116,0.06987493485212326,4.692495346069336
4,conv2.mu_kernel,bbb,51200,0.08185478299856186,0.04882701486349106,0.0324222594499588,0.07458499073982239,1.692692518234253
4,conv2.mu_bias,bbb,64,0.1126149445772171,0.04965034872293472,0.03657371550798416,0.06037242338061333,2.287306308746338
4,fc1.mu_weight,bbb,819200,0.07975077629089355,0.04881516844034195,0.02952762506902218,0.07759173214435577,1.6493622064590454
4,fc1.mu_bias,bbb,512,0.11172691732645035,0.048781618475914,0.034527841955423355,0.06344111263751984,2.301043748855591
4,fc2.mu_weight,bbb,5120,0.07928971201181412,0.048737186938524246,0.034654099494218826,0.0715705081820488,1.642490029335022
4,fc2.mu_bias,bbb,10,0.11626579612493515,0.04905300587415695,0.04330359399318695,0.05406946316361427,2.2826321125030518
5,conv1.mu_kernel,bbb,2400,0.08178375661373138,0.04865990951657295,0.03252675384283066,0.06562599539756775,1.698251724243164
5,conv1.mu_bias,bbb,32,0.23460066318511963,0.05026083439588547,0.04057991877198219,0.06987567245960236,4.69529390335083
5,conv2.mu_kernel,bbb,51200,0.08185594528913498,0.04882700741291046,0.0324222594499588,0.07458499073982239,1.6927129030227661
5,conv2.mu_bias,bbb,64,0.11362165212631226,0.04964980110526085,0.036573268473148346,0.060373034328222275,2.308563232421875
5,fc1.mu_weight,bbb,819200,0.07975015044212341,0.04881516844034195,0.02952762506902218,0.07759173214435577,1.6493492126464844
5,fc1.mu_bias,bbb,512,0.1153600662946701,0.048781201243400574,0.034526798874139786,0.06343972682952881,2.3762917518615723
5,fc2.mu_weight,bbb,5120,0.07951921224594116,0.04873703420162201,0.034654561430215836,0.07157019525766373,1.6473388671875
5,fc2.mu_bias,bbb,10,0.11532367765903473,0.049043942242860794,0.043298833072185516,0.054057057946920395,2.2612814903259277
6,conv1.mu_kernel,bbb,2400,0.08168621361255646,0.04865982010960579,0.032526686787605286,0.06562642008066177,1.6960029602050781
6,conv1.mu_bias,bbb,32,0.23518060147762299,0.050260283052921295,0.04058016091585159,0.06987547874450684,4.707281589508057
6,conv2.mu_kernel,bbb,51200,0.08186077326536179,0.04882700368762016,0.0324222594499588,0.07458501309156418,1.6928143501281738
6,conv2.mu_bias,bbb,64,0.11501066386699677,0.04964962601661682,0.03657335415482521,0.060373034328222275,2.3363847732543945
6,fc1.mu_weight,bbb,819200,0.07974962890148163,0.04881516844034195,0.02952762506902218,0.07759173214435577,1.6493394374847412
