round,parameter,kind,numel,mean_abs,sigma_mean,precision_mean,precision_min,precision_max,zero_precision_fraction
0,conv1.weight,fola,2400,0.04142514616250992,1000000.0,0.0,0.0,0.0,1.0
0,conv1.bias,fola,32,0.0,1000000.0,0.0,0.0,0.0,1.0
0,conv2.weight,fola,51200,0.024921415373682976,1000000.0,0.0,0.0,0.0,1.0
0,conv2.bias,fola,64,0.0,1000000.0,0.0,0.0,0.0,1.0
0,fc1.weight,fola,819200,0.026658393442630768,1000000.0,0.0,0.0,0.0,1.0
0,fc1.bias,fola,512,0.0,1000000.0,0.0,0.0,0.0,1.0
0,fc2.weight,fola,5120,0.0539950355887413,1000000.0,0.0,0.0,0.0,1.0
0,fc2.bias,fola,10,0.0,1000000.0,0.0,0.0,0.0,1.0
1,conv1.weight,fola,2400,0.04727240279316902,21.113508224487305,0.0035572131164371967,0.0004004578513558954,0.014855930581688881,0.0
1,conv1.bias,fola,32,0.03156380355358124,8.244421005249023,0.019245648756623268,0.004655677825212479,0.0520753487944603,0.0
1,conv2.weight,fola,51200,0.022052669897675514,125.8318099975586,0.00016653831698931754,1.9730561007236247e-07,0.001856028800830245,0.0
1,conv2.bias,fola,64,0.03771315515041351,20.0551700592041,0.004667109344154596,4.096871998626739e-05,0.01027318462729454,0.0
1,fc1.weight,fola,819200,0.010771399363875389,838.9847412109375,1.4063657545193564e-05,1.9843040405254087e-11,0.00041690573561936617,0.0
1,fc1.bias,fola,512,0.006965917535126209,96.17489624023438,0.0002631313109304756,7.984313015185762e-07,0.0009472809033468366,0.0
1,fc2.weight,fola,5120,0.049753542989492416,154.3967742919922,0.001653037965297699,6.0918305955226515e-09,0.04967045411467552,0.0
1,fc2.bias,fola,10,0.1684735268354416,7.476965427398682,0.01861039735376835,0.010668466798961163,0.024746423587203026,0.0
2,conv1.weight,fola,2400,0.05263381451368332,13.682047843933105,0.008176760748028755,0.0006574870785698295,0.03882789984345436,0.0
2,conv1.bias,fola,32,0.04484931379556656,5.1985015869140625,0.0505855455994606,0.008951089344918728,0.19565469026565552,0.0
2,conv2.weight,fola,51200,0.021428098902106285,82.1203384399414,0.00039774549077264965,3.073747620874201e-07,0.00777164613828063,0.0
2,conv2.bias,fola,64,0.05906432867050171,14.037256240844727,0.010501977987587452,5.276916635921225e-05,0.036664437502622604,0.0
2,fc1.weight,fola,819200,0.008299754001200199,336.24444580078125,3.335659494041465e-05,9.369371944956129e-10,0.0006694020121358335,0.0
2,fc1.bias,fola,512,0.009660352021455765,59.58097839355469,0.0005689766258001328,1.6976745200736332e-06,0.002011534059420228,0.0
2,fc2.weight,fola,5120,0.05036965757608414,59.41645050048828,0.003123010043054819,3.1149589574397396e-08,0.07297778874635696,0.0
2,fc2.bias,fola,10,0.19974550604820251,5.667343616485596,0.032356977462768555,0.018874602392315865,0.04074805602431297,0.0
3,conv1.weight,fola,2400,0.057637061923742294,10.900718688964844,0.012869472615420818,0.0008507623570039868,0.0741770789027214,0.0
3,conv1.bias,fola,32,0.05837568640708923,4.049962520599365,0.08919185400009155,0.012939748354256153,0.41057148575782776,0.0
3,conv2.weight,fola,51200,0.021313639357686043,67.51776123046875,0.0006533356499858201,3.936923747005494e-07,0.022138137370347977,0.0
3,conv2.bias,fola,64,0.07745684683322906,11.65880012512207,0.01654699631035328,6.00367748120334e-05,0.07667256146669388,0.0
3,fc1.weight,fola,819200,0.007019126322120428,281.8208923339844,4.7364366764668375e-05,9.877850759565376e-10,0.000957953161559999,0.0
3,fc1.bias,fola,512,0.012327970936894417,48.413047790527344,0.0008820891380310059,1.85682040410029e-06,0.002940333681181073,0.0
3,fc2.weight,fola,5120,0.05185336619615555,48.36603546142578,0.004220475908368826,3.9508439186874966e-08,0.0905405730009079,0.0
3,fc2.bias,fola,10,0.22621020674705505,4.726954460144043,0.0461585633456707,0.028460532426834106,0.05851505696773529,0.0
4,conv1.weight,fola,2400,0.06206982955336571,9.422324180603027,0.017566870898008347,0.0010738825658336282,0.11280832439661026,0.0
4,conv1.bias,fola,32,0.07176035642623901,3.462918519973755,0.13006620109081268,0.01669144257903099,0.6344559192657471,0.0
4,conv2.weight,fola,51200,0.021378187462687492,60.164546966552734,0.0009226488182321191,4.0063761730380065e-07,0.03564025089144707,0.0
4,conv2.bias,fola,64,0.09205017983913422,10.447494506835938,0.02265535295009613,6.064813715056516e-05,0.11452772468328476,0.0
4,fc1.weight,fola,819200,0.006210803519934416,255.66348266601562,6.124805076979101e-05,9.89598403222658e-10,0.0014462271938100457,0.0
4,fc1.bias,fola,512,0.01403135247528553,42.46704864501953,0.0012070651864632964,1.9031994042961742e-06,0.004280856344848871,0.0
4,fc2.weight,fola,5120,0.05336831882596016,43.41590881347656,0.005249936133623123,4.165951139611934e-08,0.10747063905000687,0.0
4,fc2.bias,fola,10,0.24439172446727753,4.156981468200684,0.05945535749197006,0.03803323581814766,0.07432785630226135,0.0
5,conv1.weight,fola,2400,0.06602172553539276,8.431978225708008,0.022379523143172264,0.0012895427644252777,0.1506664901971817,0.0
5,conv1.bias,fola,32,0.08410598337650299,3.0793230533599854,0.17322878539562225,0.0209016352891922,0.862312376499176,0.0
5,conv2.weight,fola,51200,0.021526265889406204,55.5497932434082,0.001200788770802319,4.030908655749954e-07,0.04971877485513687,0.0
5,conv2.bias,fola,64,0.10434320569038391,9.666955947875977,0.028559785336256027,6.083917469368316e-05,0.14361059665679932,0.0
5,fc1.weight,fola,819200,0.0056610917672514915,238.17823791503906,7.545090920757502e-05,9.89724191491348e-10,0.0019882984925061464,0.0
5,fc1.bias,fola,512,0.015868455171585083,38.65660858154297,0.0015275806654244661,1.915818074849085e-06,0.005917801521718502,0.0
5,fc2.weight,fola,5120,0.05469135567545891,40.44353485107422,0.006269514560699463,4.251566210200508e-08,0.12623122334480286,0.0
5,fc2.bias,fola,10,0.25835466384887695,3.762044906616211,0.07238910347223282,0.0465150810778141,0.08807145804166794,0.0
6,conv1.weight,fola,2400,0.06976086646318436,7.728875160217285,0.027002811431884766,0.0015003896551206708,0.17926068603992462,0.0
6,conv1.bias,fola,32,0.09617678821086884,2.8127965927124023,0.2150546908378601,0.02558944560587406,1.057830572128296,0.0
6,conv2.weight,fola,51200,0.021724505349993706,52.154911041259766,0.0014868277357891202,4.0345969409827376e-07,0.062316812574863434,0.0
6,conv2.bias,fola,64,0.1125749796628952,9.098663330078125,0.03460714966058731,6.0872196627315134e-05,0.1774822473526001,0.0
6,fc1.weight,fola,819200,0.005263892933726311,225.47364807128906,8.986666216515005e-05,9.897350716769893e-10,0.0024423543363809586,0.0
6,fc1.bias,fola,512,0.017060229554772377,35.95162582397461,0.0018471821676939726,1.9204640011594165e-06,0.007743546739220619,0.0
6,fc2.weight,fola,5120,0.055792342871427536,38.34612274169922,0.007206599228084087,4.287614885356561e-08,0.14081323146820068,0.0
6,fc2.bias,fola,10,0.2681424915790558,3.4763827323913574,0.08475241810083389,0.05455727130174637,0.10298275947570801,0.0
7,conv1.weight,fola,2400,0.07296286523342133,7.185582637786865,0.03182746842503548,0.0017022391548380256,0.2100459337234497,0.0
7,conv1.bias,fola,32,0.106913723051548,2.6156997680664062,0.2566187083721161,0.030315851792693138,1.2298388481140137,0.0
7,conv2.weight,fola,51200,0.02194237895309925,49.59568405151367,0.0017745596123859286,4.036201630697178e-07,0.07406333833932877,0.0
7,conv2.bias,fola,64,0.12019467353820801,8.693909645080566,0.039912257343530655,6.0885828133905306e-05,0.20337875187397003,0.0
7,fc1.weight,fola,819200,0.004965217784047127,216.02816772460938,0.00010436731099616736,9.89735959855409e-10,0.002943876199424267,0.0
7,fc1.bias,fola,512,0.018585866317152977,34.0634880065918,0.002144396770745516,1.92200218407379e-06,0.009406142868101597,0.0
7,fc2.weight,fola,5120,0.05691821128129959,36.8594970703125,0.008119015954434872,4.304635936591694e-08,0.1562802493572235,0.0
7,fc2.bias,fola,10,0.2784803509712219,3.2513442039489746,0.0966641828417778,0.06250492483377457,0.11622828990221024,0.0
8,conv1.weight,fola,2400,0.07586269080638885,6.768336296081543,0.03623492643237114,0.0019328991184011102,0.23494769632816315,0.0
8,conv1.bias,fola,32,0.11617538332939148,2.460421562194824,0.2967263460159302,0.035561587661504745,1.3924814462661743,0.0
8,conv2.weight,fola,51200,0.022184526547789574,47.56863784790039,0.0020612054504454136,4.0368749409935845e-07,0.08451064676046371,0.0
8,conv2.bias,fola,64,0.1260305643081665,8.36886215209961,0.04508885368704796,6.089164162403904e-05,0.2320564240217209,0.0
8,fc1.weight,fola,819200,0.0047365762293338776,208.39476013183594,0.00011881967657245696,9.897360708777114e-10,0.00345193175598979,0.0
8,fc1.bias,fola,512,0.019565178081393242,32.575408935546875,0.0024352935142815113,1.922505362017546e-06,0.011222083121538162,0.0
8,fc2.weight,fola,5120,0.05768855661153793,35.74932098388672,0.00898471288383007,4.3107483804760705e-08,0.16924308240413666,0.0
8,fc2.bias,fola,10,0.2848983705043793,3.073780059814453,0.1081421747803688,0.06994518637657166,0.13002344965934753,0.0
9,conv1.weight,fola,2400,0.07864155620336533,6.417410373687744,0.04060998558998108,0.0021669596899300814,0.25989651679992676,0.0
