scenario,condition_name,realization,method,final_round,final_channel_uses,final_accuracy,best_accuracy,best_accuracy_round,final_loss,final_ece,best_ece,best_ece_round
default,default,0,fedavg,481,30045184,0.094,0.0943,378,2.3037093627929686,0.0203888937830925,0.02008647471666336,380
default,default,0,fedprox,481,30045184,0.0941,0.0943,373,2.3037088623046875,0.020292222499847412,0.020088136196136475,382
default,default,0,scaffold,241,30107648,0.0942,0.0942,1,2.30378798828125,0.020169980823993683,0.020168602466583252,40
default,default,0,proposed,241,30107648,0.0933,0.0941,1,2.303702783203125,0.020651698112487793,0.02014096826314926,134
default,default,1,fedavg,481,30045184,0.0916,0.0924,407,2.3020060546875,0.030401431024074554,0.026902787387371063,407
default,default,1,fedprox,481,30045184,0.0916,0.0924,408,2.3019912414550783,0.03040456771850586,0.026944376528263092,408
default,default,1,scaffold,241,30107648,0.098,0.1682,26,nan,0.0,0.0,27
default,default,1,proposed,241,30107648,0.0777,0.0781,4,2.30270302734375,0.03863053023815155,0.034957319498062134,4
default,default,2,fedavg,481,30045184,0.1298,0.1325,20,2.3022757629394532,0.02027348428964615,0.019855067133903503,416
default,default,2,fedprox,481,30045184,0.1298,0.1324,7,2.3022710205078125,0.020274057984352112,0.019724860787391663,316
default,default,2,scaffold,241,30107648,0.098,0.1382,34,nan,0.0,0.0,36
default,default,2,proposed,241,30107648,0.1391,0.1392,237,2.3024851623535154,0.029851749539375305,0.022316306829452515,1
default,default,3,fedavg,481,30045184,0.0797,0.0803,140,2.313514208984375,0.03480158746242523,0.03414630889892578,140
default,default,3,fedprox,481,30045184,0.0797,0.0803,136,2.3135154602050783,0.03480172157287598,0.03414582461118698,136
default,default,3,scaffold,241,30107648,0.0798,0.0798,1,2.3135919189453125,0.034624263644218445,0.03462357819080353,156
default,default,3,proposed,241,30107648,0.0795,0.0799,1,2.3134385620117186,0.03479961305856705,0.034435853362083435,173
default,default,4,fedavg,481,30045184,0.1028,0.1028,1,2.3037938232421875,0.02288423478603363,0.02288423478603363,481
default,default,4,fedprox,481,30045184,0.1028,0.1028,1,2.303793786621094,0.02288585901260376,0.022885635495185852,479
default,default,4,scaffold,241,30107648,0.098,0.1033,21,nan,0.0,0.0,24
default,default,4,proposed,241,30107648,0.1028,0.1028,1,2.303665124511719,0.022396400570869446,0.022396400570869446,241
default,default,5,fedavg,481,30045184,0.1682,0.1682,478,2.3069375427246093,0.054757602512836456,0.053149521350860596,1
default,default,5,fedprox,481,30045184,0.1682,0.1682,479,2.3069363708496096,0.054757751524448395,0.053149886429309845,1
default,default,5,scaffold,241,30107648,0.098,0.1671,70,nan,0.0,0.0,74
default,default,5,proposed,241,30107648,0.1682,0.1683,218,2.3070114868164064,0.0548924058675766,0.053150348365306854,1
default,default,6,fedavg,481,30045184,0.0923,0.1185,249,2.3153627563476564,0.03282049298286438,2.3655593395233154e-05,285
default,default,6,fedprox,481,30045184,0.0925,0.1186,250,2.3153372314453127,0.032571420073509216,8.687376976013184e-06,290
default,default,6,scaffold,241,30107648,0.098,0.1083,29,nan,0.0,0.0,31
default,default,6,proposed,241,30107648,0.0944,0.1128,140,2.3099712036132813,0.022221200168132782,7.449835538864136e-05,142
default,default,7,fedavg,481,30045184,0.1193,0.1205,1,2.3166190185546873,0.0007319375872612,0.0006320029497146606,477
default,default,7,fedprox,481,30045184,0.1192,0.1205,1,2.3166183227539063,0.0006322339177131653,0.0006322339177131653,481
default,default,7,scaffold,241,30107648,0.098,0.1338,83,nan,0.0,0.0,85
default,default,7,proposed,241,30107648,0.1177,0.1205,1,2.3164174072265626,0.00019057095050811768,1.4156103134155273e-06,204
default,default,8,fedavg,481,30045184,0.1001,0.1001,1,2.3143470825195314,0.02368537336587906,0.02368485927581787,478
default,default,8,fedprox,481,30045184,0.1001,0.1001,1,2.314349133300781,0.02368556708097458,0.023684456944465637,468
default,default,8,scaffold,241,30107648,0.098,0.1003,32,nan,0.0,0.0,35
default,default,8,proposed,241,30107648,0.1,0.1001,1,2.3141215698242186,0.02336004376411438,0.023305170238018036,216
default,default,9,fedavg,481,30045184,0.0656,0.066,348,2.3021236206054687,0.05387071520090103,0.053274914622306824,348
default,default,9,fedprox,481,30045184,0.0656,0.066,344,2.302124133300781,0.05387226492166519,0.05327042192220688,344
default,default,9,scaffold,241,30107648,0.0638,0.0638,1,2.302496240234375,0.054996706545352936,0.054991722106933594,1
default,default,9,proposed,241,30107648,0.065,0.0652,194,2.3023071533203123,0.053368449211120605,0.05317573994398117,238
