schema_version,run_id,round,method,physical_client_id,virtual_client_id,num_examples,num_batches,local_epochs,batch_size,train_loss,task_loss,prior_loss,regularization_loss,accuracy_local_train_estimate,loss_local_train_estimate,update_l2_norm,update_linf_norm,update_cosine_to_global,drift_from_global_before_l2,drift_from_global_after_l2,label_entropy,kl_to_global_label_distribution,vi_elbo_loss,vi_kl_loss,vi_likelihood_loss,vi_complexity_cost,vi_loc_l2,vi_scale_mean,vi_scale_p50,vi_scale_p90,vi_scale_max,vi_snr_raw_mean,vi_snr_raw_p50,vi_snr_raw_p90,ola_task_loss,ola_prior_loss,ola_fisher_mean,ola_fisher_p50,ola_fisher_p90,ola_fisher_max,ola_precision_mean,ola_precision_p50,ola_precision_p90,ola_sigma_mean,ola_sigma_p50,ola_sigma_p90,ola_snr_raw_mean,ola_snr_raw_p50,ola_snr_raw_p90,channel_snr_db,pathloss_db,rate_mbps,delay_ms,energy_j,ota_contribution_norm,digital_payload_bytes,communication_success,num_examples_seen,num_examples_train
bayesfl_observability_v1,debug_fedavg_mnist_cf005,1,fedavg,24,1,27,1,1,32,2.1893298625946045,2.1893298625946045,0.0,0.0,0.2222222222222222,2.1893298625946045,0.08510365735824679,0.007871628738939762,0.9999213961348049,0.08510365735824679,,1.3110298871791874,1.0210991742953581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,27
bayesfl_observability_v1,debug_fedavg_mnist_cf005,1,fedavg,163,13,151,5,1,32,1.5232286757191285,1.5232286757191285,0.0,0.0,0.7615894039735099,1.5232286757191285,0.4139468503031623,0.04930254817008972,0.9981507062152538,0.4139468503031623,,0.7494436652757661,1.488660305959026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,151
bayesfl_observability_v1,debug_fedavg_mnist_cf005,1,fedavg,171,13,648,21,1,32,0.77632850702898,0.77632850702898,0.0,0.0,0.8117283950617284,0.77632850702898,0.6738299223171551,0.08331940323114395,0.9951477638916655,0.6738299223171551,,0.8947993234419066,1.3755222828587679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.0,648
bayesfl_observability_v1,debug_fedavg_mnist_cf005,1,fedavg,30,2,2,1,1,32,2.3100805282592773,2.3100805282592773,0.0,0.0,0.0,2.3100805282592773,0.1442504049960329,0.012679670006036758,0.9997741857699466,0.1442504049960329,,0.6931471805599453,1.6262933525338354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2
bayesfl_observability_v1,debug_fedavg_mnist_cf005,1,fedavg,233,18,351,11,1,32,0.4297453702515007,0.4297453702515007,0.0,0.0,0.9686609686609686,0.4297453702515007,0.49796375961288586,0.08502450585365295,0.997332103678216,0.49796375961288586,,-0.0,2.3277319754160017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.0,351
bayesfl_observability_v1,debug_fedavg_mnist_cf005,1,fedavg,252,20,369,12,1,32,1.2497772286900983,1.2497772286900983,0.0,0.0,0.7506775067750677,1.2497772286900983,0.6163139456087532,0.06728080660104752,0.9959279482708909,0.6163139456087532,,1.0683684981935357,1.1688247118610566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0,369
bayesfl_observability_v1,debug_fedavg_mnist_cf005,1,fedavg,50,4,13,1,1,32,2.384284496307373,2.384284496307373,0.0,0.0,0.0,2.384284496307373,0.10951331032508052,0.011980462819337845,0.9998698148905188,0.10951331032508052,,0.8953326659680909,1.3255516450199865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13
bayesfl_observability_v1,debug_fedavg_mnist_cf005,1,fedavg,151,12,210,7,1,32,1.0674171220688593,1.0674171220688593,0.0,0.0,0.8380952380952381,1.0674171220688593,0.48778213106584234,0.08967906981706619,0.9974356245746779,0.48778213106584234,,0.14950144571405588,2.251522034186354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,210
bayesfl_observability_v1,debug_fedavg_mnist_cf005,1,fedavg,180,14,9,1,1,32,2.226719379425049,2.226719379425049,0.0,0.0,0.0,2.226719379425049,0.1485371572160693,0.017832282930612564,0.9997606034670086,0.1485371572160693,,-0.0,2.3096097079310103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9
bayesfl_observability_v1,debug_fedavg_mnist_cf005,1,fedavg,183,14,18,1,1,32,2.3056766986846924,2.3056766986846924,0.0,0.0,0.05555555555555555,2.3056766986846924,0.08892883380662166,0.008766017854213715,0.9999141578882053,0.08892883380662166,,1.3727655308924485,0.9483462981176023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,18
bayesfl_observability_v1,debug_fedavg_mnist_cf005,1,fedavg,263,21,214,7,1,32,1.3577404456717945,1.3577404456717945,0.0,0.0,0.5887850467289719,1.3577404456717945,0.42358425422284324,0.06140059232711792,0.9980637253859679,0.42358425422284324,,0.7768433258123565,1.5365177254738465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0,214
bayesfl_observability_v1,debug_fedavg_mnist_cf005,1,fedavg,267,21,306,10,1,32,1.1102314774507012,1.1102314774507012,0.0,0.0,0.7222222222222222,1.1102314774507012,0.5383999523672892,0.07610293477773666,0.9968801120855483,0.5383999523672892,,0.49629795412582844,1.8891532045272958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.0,306
bayesfl_observability_v1,debug_fedavg_mnist_cf005,1,fedavg,117,9,8,1,1,32,2.31754732131958,2.31754732131958,0.0,0.0,0.25,2.31754732131958,0.13060385093273866,0.01316705159842968,0.9998148690115328,0.13060385093273866,,0.5623351446188083,1.7518051301834499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8
bayesfl_observability_v1,debug_fedavg_mnist_cf005,1,fedavg,237,19,36,2,1,32,2.2544018957349987,2.2544018957349987,0.0,0.0,0.1388888888888889,2.2544018957349987,0.18120605868542894,0.018524277955293655,0.9996439160364166,0.18120605868542894,,1.3898628753106193,0.9179151593699346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,36
bayesfl_observability_v1,debug_fedavg_mnist_cf005,1,fedavg,189,15,1,1,1,32,2.4948177337646484,2.4948177337646484,0.0,0.0,0.0,2.4948177337646484,0.284041009409448,0.02925439551472664,0.9991250296273079,0.284041009409448,,-0.0,2.3292713582565514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1
bayesfl_observability_v1,debug_fedavg_mnist_cf005,2,fedavg,83,6,165,6,1,32,0.915396906932195,0.915396906932195,0.0,0.0,0.8303030303030303,0.915396906932195,0.393618810478118,0.0528726801276207,0.9983421110245103,0.393618810478118,,0.7163703465940834,1.5113752911057265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,165
bayesfl_observability_v1,debug_fedavg_mnist_cf005,2,fedavg,41,3,4,1,1,32,2.648313045501709,2.648313045501709,0.0,0.0,0.0,2.648313045501709,0.21972177586218997,0.026743970811367035,0.9994794953749732,0.21972177586218997,,0.5623351446188083,1.756608808640784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4
bayesfl_observability_v1,debug_fedavg_mnist_cf005,2,fedavg,128,10,63,2,1,32,1.779282876423427,1.779282876423427,0.0,0.0,0.4126984126984127,1.779282876423427,0.21326978719812234,0.026274971663951874,0.9995102863291322,0.21326978719812234,,0.9152182792868668,1.361330606993555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,63
bayesfl_observability_v1,debug_fedavg_mnist_cf005,2,fedavg,143,11,59,2,1,32,0.9776102597430602,0.9776102597430602,0.0,0.0,0.8135593220338984,0.9776102597430602,0.14521681398747943,0.024647429585456848,0.9997736061851361,0.14521681398747943,,0.5821360471219024,1.7374773776084904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,59
bayesfl_observability_v1,debug_fedavg_mnist_cf005,2,fedavg,238,19,18,1,1,32,2.6362922191619873,2.6362922191619873,0.0,0.0,0.0,2.6362922191619873,0.17201273934495362,0.02276080846786499,0.9996809232493409,0.17201273934495362,,0.9404479886553264,1.3716040057455146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,18
