device_id,virtual_client_id,num_examples,radius_m,angle_rad,x_m,y_m,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9
0,0,200,490.4674285348789,3.1738995362067826,-490.2114918684042,-15.842717373291887,23,19,18,25,23,16,19,20,24,13
1,0,200,361.6773230955695,0.16298265984422844,356.88426697831545,58.68650632749766,18,21,25,22,19,11,24,17,23,20
2,0,200,274.78340440770967,0.5154967449813678,239.07473789649907,135.45917849157058,17,23,17,23,24,23,15,24,19,15
3,0,200,371.5596383619438,3.2459408847982902,-369.5385997359994,-38.70126825848625,21,22,11,24,24,14,21,18,29,16
4,0,200,287.73718396734813,2.1582891947425216,-159.48581495588473,239.49313531981835,22,23,22,19,17,20,19,20,21,17
5,0,200,496.8207433324704,3.0785972719696755,-495.83527307714013,31.276716227031685,18,15,24,22,18,21,14,30,16,22
6,0,200,382.07816949014125,1.4575165068128029,43.189238114422636,379.62931566467944,20,21,23,23,14,12,21,26,20,20
7,0,200,252.92910103355504,2.5535122755371904,-210.43882057588417,140.31618917385524,13,30,23,17,17,20,21,20,22,17
8,0,200,393.58563227532574,4.5190857950638375,-75.60842998453316,-386.2551167930878,14,25,21,14,20,20,19,31,15,21
9,0,200,128.22560033790126,6.03442502546451,124.2786096960932,-31.569475035567393,18,20,20,25,14,20,16,16,19,32
10,0,200,398.6609854138698,2.6261177995751868,-346.85847546838255,196.51915755698514,26,19,22,18,19,17,21,14,21,23
11,0,200,184.56611946256038,0.8994710010681625,114.80460394883278,144.51489669103236,23,17,21,18,19,19,23,21,14,25
12,1,200,519.2429168057155,5.405584059923019,331.7952483569886,-399.40595866941123,18,23,16,24,15,21,15,15,30,23
13,1,200,272.7225789381613,3.8452462972936035,-207.9464244224932,-176.4536472634724,23,19,13,19,25,13,22,23,19,24
14,1,200,483.78573872989597,0.4777667413128442,429.6133383155966,222.44329735858508,20,19,23,25,24,11,24,18,17,19
15,1,200,519.4134380723592,5.784100292641981,456.055834564169,-248.60288697062197,18,30,17,18,26,14,15,22,18,22
16,1,200,457.77769010845736,0.4702079771507635,408.0969446370842,207.40611692742198,30,21,14,22,22,20,24,22,14,11
17,1,200,371.9773416923275,3.3227777376170584,-365.88838391036273,-67.02860025357546,20,22,14,14,29,15,19,23,22,22
18,1,200,192.73869487670333,4.079410567499369,-114.01433996606042,-155.39927536793263,16,25,35,16,17,16,18,19,18,20
19,1,200,532.1810432573344,3.5395651471461984,-490.5903754948561,-206.2468091250891,19,22,14,26,16,15,17,35,20,16
20,1,200,275.16926983776,4.09262531384759,-159.83008850573623,-223.99212010982552,23,31,22,20,20,14,17,15,23,15
21,1,200,265.51506578129704,4.270296457531731,-113.59577383626913,-239.98802120811297,12,21,18,25,25,14,21,22,26,16
