round,method,accuracy,loss,train_loss,selected_count,active_physical_devices,active_virtual_clients,total_examples
0,fedavg,0.1022,2.342842985534668,0.0,0,0,0,0
1,fedavg,0.6916,1.7405464195251465,2.113533077557882,30,30,17,6000
2,fedavg,0.756,1.2485156412124634,1.5824802192846934,30,30,17,6000
3,fedavg,0.8019,0.9462719460487365,1.1696126872698467,30,30,15,6000
4,fedavg,0.8274,0.7660797678947449,0.9122175333897272,30,30,18,6000
5,fedavg,0.8423,0.6637260883331298,0.7697718361616135,30,30,16,6000
6,fedavg,0.8577,0.5915833199024201,0.6821223853826522,30,30,17,6000
7,fedavg,0.8714,0.539105696439743,0.6157471967140834,30,30,18,6000
8,fedavg,0.8753,0.5019601589918137,0.5789591045180956,30,30,17,6000
9,fedavg,0.8811,0.4734562340736389,0.5332963886459668,30,30,20,6000
10,fedavg,0.8819,0.4534283303499222,0.5074826707045237,30,30,19,6000
11,fedavg,0.8861,0.4326514251947403,0.49666655372579893,30,30,16,6000
12,fedavg,0.8909,0.41609177771806716,0.45781994964679085,30,30,20,6000
13,fedavg,0.8882,0.4089787354826927,0.4654261142015457,30,30,18,6000
14,fedavg,0.8961,0.3911480709314346,0.43483977204561236,30,30,18,6000
15,fedavg,0.8958,0.38071760375499725,0.43399960091213385,30,30,18,6000
16,fedavg,0.9002,0.37049261865615846,0.42464345985651014,30,30,17,6000
17,fedavg,0.899,0.36376612186431884,0.4253325209667285,30,30,18,6000
18,fedavg,0.9039,0.35683945820331575,0.44046637338399885,30,30,18,6000
19,fedavg,0.9038,0.3513636573433876,0.3808380246857802,30,30,16,6000
20,fedavg,0.9034,0.3462708714902401,0.39717153113583725,30,30,20,6000
