schema_version,run_id,round,method,scope,physical_client_id,virtual_client_id,layer_name,param_name,num_params,mu_mean,mu_std,mu_abs_mean,mu_abs_p50,mu_abs_p90,mu_l2,sigma_mean,sigma_std,sigma_min,sigma_p10,sigma_p50,sigma_p90,sigma_p95,sigma_max,variance_mean,variance_sum,precision_mean,precision_std,precision_min,precision_p50,precision_p90,precision_max,snr_raw_mean,snr_raw_std,snr_raw_p10,snr_raw_p50,snr_raw_p75,snr_raw_p90,snr_raw_p95,snr_db_mean,snr_db_std,snr_db_p50,snr_db_p90,snr_frac_lt_1,snr_frac_lt_2,snr_frac_gt_1,snr_frac_gt_2,effective_params_snr_gt_1,effective_params_snr_gt_2,sigma_p25,sigma_p75,precision_p10,precision_p25,precision_p75,precision_p95,snr_raw_min,snr_raw_p25,snr_raw_max,snr_db_min,snr_db_p10,snr_db_p25,snr_db_p75,snr_db_p95,snr_db_max
bayesfl_observability_v1,smoke_fedavg_mnist,0,fedavg,global,,,all,all,50890,5.463777051772922e-05,0.022045938298106194,0.018442608416080475,0.017951239831745625,0.032475332543253896,4.973316948267506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bayesfl_observability_v1,smoke_fedavg_mnist,0,fedavg,global,,,layers.0.weight,layers.0.weight,50176,6.376975943567231e-05,0.020640907809138298,0.017886018380522728,0.017806481570005417,0.03218838945031166,4.623585212945908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bayesfl_observability_v1,smoke_fedavg_mnist,0,fedavg,global,,,layers.0.bias,layers.0.bias,64,-0.004387951456010342,0.02020706608891487,0.017425352707505226,0.017570813186466694,0.032987603917717934,0.16542398938975675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bayesfl_observability_v1,smoke_fedavg_mnist,0,fedavg,global,,,layers.1.weight,layers.1.weight,640,-0.0005953350919298828,0.07133237272500992,0.061280518770217896,0.06055375933647156,0.11206431388854982,1.80464492040938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bayesfl_observability_v1,smoke_fedavg_mnist,0,fedavg,global,,,layers.1.bias,layers.1.bias,10,0.024264764040708542,0.08145248144865036,0.07607001066207886,0.08385860174894333,0.11464387774467467,0.26876171886589284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bayesfl_observability_v1,smoke_fedavg_mnist,1,fedavg,global,,,all,all,50890,-0.00042290514102205634,0.02352355606853962,0.019071530550718307,0.01809276919811964,0.03352028355002403,5.307491985660026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bayesfl_observability_v1,smoke_fedavg_mnist,1,fedavg,global,,,layers.0.weight,layers.0.weight,50176,-0.00042629995732568204,0.02145475335419178,0.0183720663189888,0.017928386107087135,0.033137671649456024,4.806813140657641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bayesfl_observability_v1,smoke_fedavg_mnist,1,fedavg,global,,,layers.0.bias,layers.0.bias,64,0.00010551698505878448,0.02091829851269722,0.01703793928027153,0.01737601589411497,0.03250203840434551,0.1673485134619369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bayesfl_observability_v1,smoke_fedavg_mnist,1,fedavg,global,,,layers.1.weight,layers.1.weight,640,-0.0005953406798653305,0.08821873366832733,0.07332658767700195,0.06832848116755486,0.13625052571296695,2.2318278883664227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bayesfl_observability_v1,smoke_fedavg_mnist,1,fedavg,global,,,layers.1.bias,layers.1.bias,10,0.024264762178063393,0.07004967331886292,0.06940207630395889,0.07655997201800346,0.09483934864401818,0.23442986242880734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
