schema_version,run_id,round,physical_client_id,virtual_client_id,selected,selected_count,selection_policy,selection_score,selection_probability,selection_reason,num_examples,label_entropy,dominant_label,kl_to_global_label_distribution,distance_m,angle_rad,channel_gain,channel_snr_db,pathloss_db,rate_mbps,delay_ms,energy_j,outage
bayesfl_observability_v1,ola_precision_update_prune090_keep010_seed42,1,24,1,1,15,random,,0.05,random_uniform,27,1.3110298871791874,0,1.0210991742953581,413.5419178369083,3.5761099207991176,,,,,,,
bayesfl_observability_v1,ola_precision_update_prune090_keep010_seed42,1,30,2,1,15,random,,0.05,random_uniform,2,0.6931471805599453,2,1.6262933525338354,247.4723068152236,0.33109398170456106,,,,,,,
bayesfl_observability_v1,ola_precision_update_prune090_keep010_seed42,1,50,4,1,15,random,,0.05,random_uniform,13,0.8953326659680909,1,1.3255516450199865,512.4147341853131,4.810290372805616,,,,,,,
bayesfl_observability_v1,ola_precision_update_prune090_keep010_seed42,1,117,9,1,15,random,,0.05,random_uniform,8,0.5623351446188083,2,1.7518051301834499,451.05544720842494,0.03391461562941973,,,,,,,
bayesfl_observability_v1,ola_precision_update_prune090_keep010_seed42,1,151,12,1,15,random,,0.05,random_uniform,210,0.14950144571405588,5,2.251522034186354,59.71953091395691,5.256481255585119,,,,,,,
bayesfl_observability_v1,ola_precision_update_prune090_keep010_seed42,1,163,13,1,15,random,,0.05,random_uniform,151,0.7494436652757661,1,1.488660305959026,176.2690904351675,4.414354249060658,,,,,,,
bayesfl_observability_v1,ola_precision_update_prune090_keep010_seed42,1,171,13,1,15,random,,0.05,random_uniform,648,0.8947993234419066,8,1.3755222828587679,505.35595564335915,1.2725412185698093,,,,,,,
bayesfl_observability_v1,ola_precision_update_prune090_keep010_seed42,1,180,14,1,15,random,,0.05,random_uniform,9,-0.0,2,2.3096097079310103,513.8569424337791,6.226351452948496,,,,,,,
bayesfl_observability_v1,ola_precision_update_prune090_keep010_seed42,1,183,14,1,15,random,,0.05,random_uniform,18,1.3727655308924485,6,0.9483462981176023,145.57423040736145,1.8419185953761883,,,,,,,
bayesfl_observability_v1,ola_precision_update_prune090_keep010_seed42,1,189,15,1,15,random,,0.05,random_uniform,1,-0.0,4,2.3292713582565514,475.29194595271167,0.44670535021845836,,,,,,,
bayesfl_observability_v1,ola_precision_update_prune090_keep010_seed42,1,233,18,1,15,random,,0.05,random_uniform,351,-0.0,8,2.3277319754160017,439.21626364831354,5.778760420837365,,,,,,,
bayesfl_observability_v1,ola_precision_update_prune090_keep010_seed42,1,237,19,1,15,random,,0.05,random_uniform,36,1.3898628753106193,6,0.9179151593699346,469.67455714719193,4.854893099297161,,,,,,,
bayesfl_observability_v1,ola_precision_update_prune090_keep010_seed42,1,252,20,1,15,random,,0.05,random_uniform,369,1.0683684981935357,1,1.1688247118610566,459.27232267836285,1.874998350090816,,,,,,,
bayesfl_observability_v1,ola_precision_update_prune090_keep010_seed42,1,263,21,1,15,random,,0.05,random_uniform,214,0.7768433258123565,3,1.5365177254738465,406.0448992293342,2.4314697304812256,,,,,,,
bayesfl_observability_v1,ola_precision_update_prune090_keep010_seed42,1,267,21,1,15,random,,0.05,random_uniform,306,0.49629795412582844,5,1.8891532045272958,150.43278096868144,5.4986340060965535,,,,,,,
