key,value
method,vi
dataset,mnist
model,mlp
output_dir,outputs/sparse_comm_mnist_noniid_unbalanced/vi_update_snr_prune050_keep050_seed42
data_dir,data
num_rounds,200
eval_every,1
heavy_eval_every,5
local_eval_every,5
local_eval_fraction,0.2
eval_mc_samples,5
posterior_sample_scale,0.001
calibration_bins,15
snr_hist_bins,80
save_posterior_every,10
save_prediction_snapshots,False
metrics_level,bayes
save_every,0
seed,42
num_devices,300
num_virtual_clients,24
client_fraction,0.05
selector,random
iid,False
balanced,False
noniid_alpha,0.1
unbalanced_alpha,0.5
val_ratio,0.1
min_client_examples,1
class_balance,False
area_radius_m,550.0
local_epochs,5
batch_size,256
lr,0.05
momentum,0.0
weight_decay,0.0
optimizer,sgd
mlp_hidden,128
ola_prior_lambda,1.0
precision_init,1.0
precision_floor,1e-08
fisher_clip,1000000.0
bayes_aggregation,product
vi_prior_scale,0.05
vi_init_scale,0.05
vi_min_scale,1e-05
vi_particles,1
vi_lr,0.005
sparse_comm,True
sparse_metric,update_snr
sparse_ratio,0.5
sparse_warmup_rounds,20
sparse_min_keep,100
sparse_apply_to,"vi,ola"
client_cpus,1.0
client_gpus,0.5
num_workers,0
torch_threads,1
device,cuda
cache_clients,True
accept_failures,False
dry_run,False
