method,selection,keep_ratio,output_dir,log_file
vi,bayesian,1.0,outputs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_bayesian_keep100_seed42,logs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_bayesian_keep100_seed42.log
vi,bayesian,0.5,outputs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_bayesian_keep050_seed42,logs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_bayesian_keep050_seed42.log
vi,bayesian,0.1,outputs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_bayesian_keep010_seed42,logs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_bayesian_keep010_seed42.log
vi,bayesian,0.05,outputs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_bayesian_keep005_seed42,logs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_bayesian_keep005_seed42.log
vi,bayesian,0.02,outputs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_bayesian_keep002_seed42,logs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_bayesian_keep002_seed42.log
vi,random,1.0,outputs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_random_keep100_seed42,logs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_random_keep100_seed42.log
vi,random,0.5,outputs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_random_keep050_seed42,logs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_random_keep050_seed42.log
vi,random,0.1,outputs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_random_keep010_seed42,logs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_random_keep010_seed42.log
vi,random,0.05,outputs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_random_keep005_seed42,logs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_random_keep005_seed42.log
vi,random,0.02,outputs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_random_keep002_seed42,logs/sparse_selection_ablation_mnist_extreme_a001_ub01/vi_sparse_random_keep002_seed42.log
