rank,run_label,status,method,vi_lr,batch_size,local_epochs,client_fraction,num_rounds,final_round,final_global_accuracy,final_global_loss,final_global_ece,final_global_nll,final_local_accuracy_weighted,final_posterior_sigma_mean,final_posterior_snr_raw_p50,output_dir
1,vi_lr0p002_b128_e5,ok,vi,0.002,128,5,0.05,60,60,0.8086,0.6901062373161316,0.1528147747993469,0.6901062373161316,0.9733061589940184,0.06767305887395851,0.35259000510682725,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p002_b128_e5
2,vi_lr0p001_b128_e5,ok,vi,0.001,128,5,0.05,60,60,0.7903,0.7848387189865113,0.19443207580298186,0.7848387189865113,0.9600980062095537,0.05847738553898278,0.3364117151809643,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p001_b128_e5
3,vi_lr0p002_b64_e5,ok,vi,0.002,64,5,0.05,60,60,0.7777,0.7614108520507813,0.14587970486730334,0.7614108520507813,0.9734666468771833,0.07203936811642339,0.33214821530013783,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p002_b64_e5
4,vi_lr0p002_b128_e2,ok,vi,0.002,128,2,0.05,60,60,0.7651,0.8612995066642761,0.1975398964986205,0.8612995066642761,0.9514063203265747,0.06086196342674058,0.36301021373889486,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p002_b128_e2
5,vi_lr0p001_b64_e5,ok,vi,0.001,64,5,0.05,60,60,0.7613,0.8314983900070191,0.17354843378663062,0.8314983900070191,0.968924839783619,0.06075907746574974,0.3283297384637346,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p001_b64_e5
6,vi_lr0p0005_b128_e5,ok,vi,0.0005,128,5,0.05,60,60,0.7467,0.9859260969161987,0.2557127345189452,0.9859260969161987,0.9338641982307383,0.054146955074654404,0.3367452983294008,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p0005_b128_e5
7,vi_lr0p002_b64_e2,ok,vi,0.002,64,2,0.05,60,60,0.7423,0.8903807729721069,0.17957849439531562,0.8903807729721069,0.9514063203265747,0.06525237602470454,0.3563325105702286,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p002_b64_e2
8,vi_lr0p002_b32_e5,ok,vi,0.002,32,5,0.05,60,60,0.7348,0.8753856820106506,0.15006136476546525,0.8753856820106506,0.9691334740317331,0.07503147673938368,0.31501393148232537,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p002_b32_e5
9,vi_lr0p001_b32_e5,ok,vi,0.001,32,5,0.05,60,60,0.7302,0.9154384969711303,0.1755303000047803,0.9154384969711303,0.9646398133031182,0.06286433721388576,0.3184440669198916,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p001_b32_e5
10,vi_lr0p0005_b64_e5,ok,vi,0.0005,64,5,0.05,60,60,0.7187,1.0066010630607605,0.22019601823687548,1.0066010630607605,0.9383586554252747,0.05529946397173331,0.3324997491045873,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p0005_b64_e5
11,vi_lr0p002_b32_e2,ok,vi,0.002,32,2,0.05,60,60,0.7132,0.9675263244628907,0.17360731872916224,0.9675263244628907,0.9557808821524201,0.07005793471967348,0.33660907637524173,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p002_b32_e2
12,vi_lr0p001_b128_e2,ok,vi,0.001,128,2,0.05,60,60,0.7082,1.1006122486114502,0.259981077079475,1.1006122486114502,0.9067981755864156,0.05524334076667911,0.3380733819043587,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p001_b128_e2
13,vi_lr0p0005_b32_e5,ok,vi,0.0005,32,5,0.05,60,60,0.701,1.0491830808639526,0.21717335105240346,1.0491830808639526,0.9382370225032971,0.05648301335418987,0.3279871620014715,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p0005_b32_e5
14,vi_lr0p002_b128_e1,ok,vi,0.002,128,1,0.05,60,60,0.6925,1.1233873712539673,0.24762285828292369,1.1233873712539673,0.9023575696685584,0.05683328669777762,0.35141014571933415,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p002_b128_e1
15,vi_lr0p001_b64_e2,ok,vi,0.001,64,2,0.05,60,60,0.6866,1.0971563364982604,0.22643065477907662,1.0971563364982604,0.9288088299110464,0.05733099170040145,0.3350850960313353,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p001_b64_e2
16,vi_lr0p001_b32_e2,ok,vi,0.001,32,2,0.05,60,60,0.6769,1.1245850625991822,0.2230355888560414,1.1245850625991822,0.9112470725348609,0.0597212439124923,0.3280136794776336,outputs/tune_vi_mnist_noniid_unbalanced/vi_lr0p001_b32_e2
