label,run_dir,method,sparse_selection,sparse_metric,curve_label,keep_ratio,keep_percent,final_round,final_global_accuracy,final_global_loss,final_global_ece,best_global_accuracy,best_global_accuracy_round,best_global_ece,best_global_ece_round,cumulative_dense_bytes,cumulative_sparse_bytes,cumulative_sparse_MB,cumulative_saving_ratio,mean_update_energy_retention,selected_score_mean,dropped_score_mean,selected_minus_dropped_score_mean
ola_sparse_bayesian_fisher_update_keep005_seed42,outputs/ola_sparse_metric_ablation_mnist_extreme_a001_ub01_cf10_nowarmup/ola_sparse_bayesian_fisher_update_keep005_seed42,ola,bayesian,fisher_update,bayesian:fisher_update,0.05,5.0,200.0,0.7336,0.8991802915096283,0.10332198630720377,0.8559,163.0,0.015277832527458703,87.0,1628320000.0,203560000.0,194.12994384765625,0.8749877174019849,0.9556578246804588,0.001428879901610719,8.114808026654961e-08,0.0014287987535304524
ola_sparse_bayesian_fisher_update_keep010_seed42,outputs/ola_sparse_metric_ablation_mnist_extreme_a001_ub01_cf10_nowarmup/ola_sparse_bayesian_fisher_update_keep010_seed42,ola,bayesian,fisher_update,bayesian:fisher_update,0.1,10.0,200.0,0.727,0.8840255436897277,0.11377948611825704,0.8712,163.0,0.009331019605696152,163.0,1628320000.0,407080000.0,388.22174072265625,0.75,0.9737484880066385,0.0008164677215621429,4.4851528913284084e-08,0.0008164228700332296
ola_sparse_bayesian_kl_keep005_seed42,outputs/ola_sparse_metric_ablation_mnist_extreme_a001_ub01_cf10_nowarmup/ola_sparse_bayesian_kl_keep005_seed42,ola,bayesian,kl,bayesian:kl,0.05,5.0,200.0,0.8223,0.5651348534107208,0.07906815977841615,0.8299,191.0,0.014071080987155447,105.0,1628320000.0,203560000.0,194.12994384765625,0.8749877174019849,0.6718067063500458,6.577119839463318e-05,1.4202606231742315e-06,6.435093777145895e-05
ola_sparse_bayesian_kl_keep010_seed42,outputs/ola_sparse_metric_ablation_mnist_extreme_a001_ub01_cf10_nowarmup/ola_sparse_bayesian_kl_keep010_seed42,ola,bayesian,kl,bayesian:kl,0.1,10.0,200.0,0.8432,0.5336802378177643,0.10565785666853188,0.8454,174.0,0.012429884311556809,105.0,1628320000.0,407080000.0,388.22174072265625,0.75,0.6860234638186496,2.991042114127978e-05,1.1468410132146125e-06,2.876358012806517e-05
ola_sparse_bayesian_precision_update_keep005_seed42,outputs/ola_sparse_metric_ablation_mnist_extreme_a001_ub01_cf10_nowarmup/ola_sparse_bayesian_precision_update_keep005_seed42,ola,bayesian,precision_update,bayesian:precision_update,0.05,5.0,200.0,0.7589,0.7481271263837814,0.07055257804840806,0.8509,163.0,0.006426195466518392,79.0,1628320000.0,203560000.0,194.12994384765625,0.8749877174019849,0.9570141060499194,3.562416184136004e-05,1.8476763133693662e-07,3.54393942100231e-05
ola_sparse_bayesian_precision_update_keep010_seed42,outputs/ola_sparse_metric_ablation_mnist_extreme_a001_ub01_cf10_nowarmup/ola_sparse_bayesian_precision_update_keep010_seed42,ola,bayesian,precision_update,bayesian:precision_update,0.1,10.0,200.0,0.7649,0.6913879506111145,0.05857608641237019,0.8666,174.0,0.010500972405075986,159.0,1628320000.0,407080000.0,388.22174072265625,0.75,0.9742807332718092,1.4698531176235967e-05,1.2474448877979176e-07,1.4573786687456174e-05
ola_sparse_bayesian_update_snr_keep005_seed42,outputs/ola_sparse_metric_ablation_mnist_extreme_a001_ub01_cf10_nowarmup/ola_sparse_bayesian_update_snr_keep005_seed42,ola,bayesian,update_snr,bayesian:update_snr,0.05,5.0,200.0,0.7451,0.8006170775413514,0.08467399671524764,0.8583,163.0,0.010370020152628445,102.0,1628320000.0,203560000.0,194.12994384765625,0.8749877174019849,0.9636183346793249,0.00015398397997785595,4.053164581381307e-06,0.00014993081539647465
ola_sparse_bayesian_update_snr_keep010_seed42,outputs/ola_sparse_metric_ablation_mnist_extreme_a001_ub01_cf10_nowarmup/ola_sparse_bayesian_update_snr_keep010_seed42,ola,bayesian,update_snr,bayesian:update_snr,0.1,10.0,200.0,0.7527,0.7365201071023941,0.07233481559902431,0.8643,163.0,0.011479876059293771,189.0,1628320000.0,407080000.0,388.22174072265625,0.75,0.9775381996734644,7.090515429128179e-05,3.0582429961737886e-06,6.7846911295108e-05
ola_sparse_random_keep005_seed42,outputs/ola_sparse_metric_ablation_mnist_extreme_a001_ub01_cf10_nowarmup/ola_sparse_random_keep005_seed42,ola,random,precision_update,random,0.05,5.0,200.0,0.7939,0.6869699488639831,0.14559091066271065,0.7981,190.0,0.002415451824665073,1.0,1628320000.0,203560000.0,194.12994384765625,0.8749877174019849,0.22034495751674013,7.10153048649964e-07,7.623920743317517e-07,-5.223902568178773e-08
ola_sparse_random_keep010_seed42,outputs/ola_sparse_metric_ablation_mnist_extreme_a001_ub01_cf10_nowarmup/ola_sparse_random_keep010_seed42,ola,random,precision_update,random,0.1,10.0,200.0,0.8367,0.5279208537578582,0.10211058144569399,0.8586,190.0,0.03139814949333667,130.0,1628320000.0,407080000.0,388.22174072265625,0.75,0.3096272879787448,7.139174996219677e-07,7.108121414419908e-07,3.105358179976901e-09
